IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Filing Type
242.0,3850.0,0.0,0.0,81220537.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET ,XENIA,IL,62899.0,51.0
279.0,28868.0,0.0,2523.0,311972526.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD ,MINEOLA,TX,75773.0,51.0
354.0,14083.0,0.0,0.0,101107475.0,BISON STATE BANK,223 MAIN STREET ,BISON,KS,67520.0,51.0
457.0,10202.0,0.0,0.0,91208332.0,LOWRY STATE BANK,400 FLORENCE AVE. ,LOWRY,MN,56349.0,51.0
505.0,6959.0,1253.0,0.0,21304675.0,BALLSTON SPA NATIONAL BANK,87 FRONT STREET ,BALLSTON SPA,NY,12020.0,51.0
1155.0,17639.0,0.0,0.0,104900116.0,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD ,FREMONT,NE,68025.0,51.0
1351.0,9392.0,0.0,0.0,81513969.0,BANK OF GRANDIN,403 5TH STREET ,GRANDIN,MO,63943.0,51.0
1454.0,19184.0,15359.0,0.0,102301199.0,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD ,CASPER,WY,82609.0,51.0
1669.0,3384.0,13541.0,0.0,111900578.0,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE ,PARIS,TX,75460.0,51.0
1856.0,22430.0,0.0,0.0,103105446.0,WASHITA STATE BANK,701 S HIGHWAY 44 ,BURNS FLAT,OK,73624.0,51.0
2161.0,23597.0,17106.0,0.0,111909870.0,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE ,PARIS,TX,75460.0,41.0
2732.0,17230.0,14688.0,0.0,71004446.0,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE ,CHICAGO,IL,60625.0,51.0
2750.0,5408.0,0.0,0.0,104901940.0,GENOA COMMUNITY BANK,502 WILLIARD AVENUE ,GENOA,NE,68640.0,51.0
3252.0,5410.0,8521.0,0.0,104102781.0,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN ,GORDON,NE,69343.0,51.0
3458.0,16103.0,0.0,0.0,101918169.0,FARMERS BANK OF GREEN CITY,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545.0,51.0
3720.0,15671.0,0.0,0.0,53206738.0,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET ,MANNING,SC,29102.0,51.0
3971.0,28865.0,702518.0,2518.0,291970033.0,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439.0,51.0
4156.0,13157.0,0.0,0.0,101102124.0,KANZA BANK,151 NORTH MAIN ,KINGMAN,KS,67068.0,51.0
4231.0,16440.0,0.0,0.0,61212345.0,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467.0,51.0
5069.0,24332.0,0.0,0.0,122237599.0,FIRST CREDIT BANK,9255 SUNSET BOULEVARD ,WEST HOLLYWOOD,CA,90069.0,51.0
5135.0,15496.0,0.0,14097.0,61202931.0,FIRST STATE BANK OF BLAKELY,2213 SOUTH MAIN STREET ,BLAKELY,GA,39823.0,51.0
5210.0,7506.0,0.0,0.0,31309945.0,ACNB BANK,16 LINCOLN SQUARE ,GETTYSBURG,PA,17325.0,51.0
5461.0,19434.0,0.0,0.0,121125660.0,BAC COMMUNITY BANK,517 EAST WEBER AVENUE ,STOCKTON,CA,95202.0,51.0
5751.0,15194.0,0.0,0.0,101106625.0,KEARNY COUNTY BANK,221 NORTH MAIN STREET ,LAKIN,KS,67860.0,51.0
6039.0,15699.0,0.0,14102.0,61211964.0,PINELAND BANK,501 W 12TH ST ,ALMA,GA,31510.0,41.0
6329.0,9923.0,0.0,13430.0,53206741.0,ANDERSON BROTHERS BANK,101 NORTH MAIN STREET ,MULLINS,SC,29574.0,41.0
7009.0,20015.0,0.0,0.0,21203970.0,BESSEMER TRUST COMPANY,100 WOODBRIDGE CENTER DRIVE ,WOODBRIDGE,NJ,70951191.0,51.0
7045.0,5779.0,0.0,0.0,83905326.0,"PEOPLES BANK, THE",100 NORTH MAIN STREET ,BROWNSTOWN,IN,47220.0,41.0
7072.0,28870.0,702528.0,2528.0,221972234.0,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,23 WALLKILL AVE. ,WALLKILL,NY,12589.0,51.0
7456.0,13962.0,0.0,0.0,104110977.0,BANK OF HARTINGTON,229 NORTH BROADWAY ,HARTINGTON,NE,68739.0,51.0
7634.0,15904.0,0.0,0.0,61112034.0,"FOUR COUNTY BANK, THE",959 MAIN STREET ,ALLENTOWN,GA,31003.0,51.0
8033.0,23090.0,0.0,15605.0,65202830.0,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,805 HOSPITAL ROAD ,NEW ROADS,LA,70760.0,51.0
8462.0,3388.0,11595.0,0.0,111318584.0,"PERRYTON NATIONAL BANK, THE",825 SOUTH MAIN STREET ,PERRYTON,TX,790703556.0,51.0
8631.0,847.0,0.0,0.0,51501765.0,"PLEASANTS COUNTY BANK, THE",215 WASHINGTON STREET ,SAINT MARYS,WV,26170.0,51.0
9357.0,20268.0,0.0,0.0,91014924.0,FIDELITY BANK,7600 PARKLAWN AVENUE ,EDINA,MN,55435.0,51.0
9553.0,14311.0,0.0,0.0,104907708.0,ADAMS COUNTY BANK,401 N SMITH AVE ,KENESAW,NE,68956.0,51.0
9807.0,6423.0,0.0,9315.0,21204416.0,AMBOY BANK,3590 U.S. HIGHWAY 9 SOUTH ,OLD BRIDGE,NJ,8857.0,41.0
9955.0,15899.0,0.0,0.0,101101992.0,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",116 WEST 6TH STREET ,LARNED,KS,67550.0,51.0
10250.0,1607.0,0.0,0.0,91903831.0,"BANK OF ELK RIVER, THE",630 MAIN ST. ,ELK RIVER,MN,55330.0,51.0
10849.0,15050.0,0.0,0.0,82902003.0,FIRST STATE BANK,101 SOUTH CENTER STREET ,LONOKE,AR,72086.0,51.0
11145.0,8172.0,0.0,11663.0,72405604.0,LAKE-OSCEOLA STATE BANK,790 NORTH MICHIGAN AVENUE ,BALDWIN,MI,49304.0,41.0
11640.0,19070.0,15284.0,0.0,84201029.0,FIRST NATIONAL BANK OF CLARKSDALE,402 EAST SECOND STREET ,CLARKSDALE,MS,38614.0,51.0
11837.0,5709.0,0.0,17705.0,61107861.0,"FARMERS BANK, THE",202 SOUTH MAIN STREET ,GREENSBORO,GA,30642.0,51.0
12030.0,17011.0,0.0,12295.0,61212866.0,FNB SOUTH,423 WEST 12TH STREET ,ALMA,GA,31510.0,51.0
12142.0,12201.0,0.0,0.0,84202280.0,"CLEVELAND STATE BANK, THE",110 COMMERCE AVENUE ,CLEVELAND,MS,38732.0,51.0
12311.0,6560.0,7745.0,0.0,44000024.0,"HUNTINGTON NATIONAL BANK, THE",17 SOUTH HIGH STREET ,COLUMBUS,OH,43215.0,31.0
12647.0,10012.0,0.0,0.0,75904377.0,"PORTAGE COUNTY BANK, THE",1155 COUNTY ROAD D ,ALMOND,WI,549099777.0,51.0
12656.0,14944.0,0.0,0.0,101107624.0,EMERALD BANK,333 N. MAIN STREET ,BURDEN,KS,67019.0,51.0
12946.0,1291.0,0.0,0.0,82901635.0,FARMERS BANK & TRUST COMPANY,200 EAST MAIN STREET ,MAGNOLIA,AR,71753.0,51.0
13103.0,23622.0,0.0,8406.0,211370859.0,BRISTOL COUNTY SAVINGS BANK,35 BROADWAY ,TAUNTON,MA,2780.0,41.0
13251.0,10185.0,0.0,0.0,91907374.0,ELYSIAN BANK,121 EAST MAIN STREET ,ELYSIAN,MN,56028.0,51.0
13457.0,5425.0,0.0,0.0,104107786.0,BANK OF LEWELLEN,302 MAIN STREET ,LEWELLEN,NE,69147.0,51.0
14155.0,9378.0,0.0,0.0,101902146.0,F & C BANK,1006 EAGLE CREST DRIVE ,HOLDEN,MO,64040.0,51.0
14650.0,16795.0,0.0,0.0,103112730.0,BANK OF LOCUST GROVE,124 EAST MAIN STREET ,LOCUST GROVE,OK,74352.0,51.0
14753.0,18101.0,0.0,0.0,101104711.0,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",111 NORTH MAIN STREET ,BUCKLIN,KS,67834.0,51.0
14865.0,16243.0,0.0,0.0,123203535.0,BANK OF EASTERN OREGON,279 NORTH MAIN STREET ,HEPPNER,OR,97836.0,51.0
14977.0,30291.0,0.0,0.0,311372252.0,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",301 X.I.T. DRIVE ,LITTLEFIELD,TX,79339.0,41.0
16551.0,10956.0,0.0,0.0,91907471.0,NORTHVIEW BANK,510 MAIN STREET ,SANDSTONE,MN,55072.0,51.0
16748.0,13104.0,0.0,0.0,81307382.0,"ELBERFELD STATE BANK, THE",55 WEST MAIN STREET ,ELBERFELD,IN,47613.0,51.0
17110.0,26189.0,0.0,0.0,36002085.0,"HAVERFORD TRUST COMPANY, THE",100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450,RADNOR,PA,19087.0,41.0
17147.0,4365.0,0.0,11365.0,74900657.0,FIRST MERCHANTS BANK,200 EAST JACKSON STREET ,MUNCIE,IN,47305.0,41.0
17259.0,26260.0,20838.0,0.0,103102494.0,"FIRST NATIONAL BANK IN MARLOW, THE",301 WEST MAIN STREET ,MARLOW,OK,73055.0,51.0
17950.0,2224.0,10844.0,0.0,92903542.0,"BANK OF BRIDGER, NATIONAL ASSOCIATION",101 S. MAIN STREET ,BRIDGER,MT,59014.0,51.0
17978.0,29904.0,704307.0,4307.0,264271280.0,ELIZABETHTON FEDERAL SAVINGS BANK,112-114 NORTH SYCAMORE STREET ,ELIZABETHTON,TN,376433326.0,51.0
18050.0,3091.0,4093.0,0.0,114904953.0,"FIRST NATIONAL BANK OF BASTROP, THE",489 HIGHWAY 71 WEST ,BASTROP,TX,786023217.0,51.0
18827.0,7900.0,5073.0,0.0,43311497.0,"NEXTIER BANK, NA",222 MARKET STREET ,KITTANNING,PA,16201.0,51.0
18836.0,9998.0,0.0,12053.0,52203703.0,CAPON VALLEY BANK,2 W MAIN ST ,WARDENSVILLE,WV,26851.0,51.0
18854.0,4147.0,0.0,0.0,103103778.0,BANK7,1039 NW 63RD STREET ,OKLAHOMA CITY,OK,73116.0,41.0
19356.0,9881.0,0.0,0.0,103110907.0,SECURITY BANK AND TRUST COMPANY,2 SOUTH MAIN STREET ,MIAMI,OK,74354.0,51.0
19936.0,15477.0,0.0,12677.0,61201042.0,CITIZENS BANK OF AMERICUS,119 NORTH LEE STREET ,AMERICUS,GA,31709.0,51.0
19972.0,34711.0,0.0,9008.0,243374108.0,FARMERS BUILDING AND SAVINGS BANK,290 WEST PARK ,ROCHESTER,PA,15074.0,51.0
20053.0,10015.0,0.0,0.0,91806242.0,SECURITY BANK,112 EAST MAIN ST. ,NEW AUBURN,WI,54757.0,51.0
20633.0,6803.0,0.0,0.0,51501723.0,MCNB BANK AND TRUST CO.,75 WYOMING ST ,WELCH,WV,24801.0,51.0
20857.0,10998.0,0.0,0.0,91902793.0,GRANITE FALLS BANK,702 PRENTICE ST. ,GRANITE FALLS,MN,56241.0,51.0
21256.0,16583.0,0.0,0.0,101114565.0,STATE BANK OF BURRTON,200 NORTH BURRTON AVE ,BURRTON,KS,67020.0,51.0
21359.0,22263.0,0.0,0.0,91205128.0,AMERICAN STATE BANK OF GRYGLA,102 SOUTH MAIN AVENUE ,GRYGLA,MN,56727.0,51.0
21658.0,12511.0,0.0,0.0,91803355.0,ALLIANCE BANK,245 S. EAU CLAIRE ST. ,MONDOVI,WI,54755.0,41.0
22048.0,1753.0,0.0,0.0,82901567.0,UNION BANK & TRUST COMPANY,102 WEST MCCLOY ,MONTICELLO,AR,71655.0,51.0
22543.0,8162.0,0.0,11909.0,72406506.0,STATE SAVINGS BANK,703 MAIN STREET ,FRANKFORT,MI,49635.0,51.0
22552.0,10576.0,0.0,0.0,91204462.0,FIRST SOUTHEAST BANK,3 MAIN AVENUE NORTH ,HARMONY,MN,55939.0,51.0
22730.0,2452.0,0.0,0.0,51502159.0,WEST UNION BANK,212 MAIN STREET ,WEST UNION,WV,26456.0,51.0
23456.0,5162.0,6906.0,0.0,91204763.0,"FIRST NATIONAL BANK OF HENNING, THE",106 MN HWY 78 NORTH ,OTTERTAIL,MN,56571.0,51.0
23504.0,6976.0,0.0,9545.0,21406667.0,BNB BANK,2200 MONTAUK HIGHWAY ,BRIDGEHAMPTON,NY,11932.0,41.0
23643.0,90.0,0.0,0.0,82905343.0,COMMERCIAL BANK & TRUST COMPANY,212 WEST GAINES STREET ,MONTICELLO,AR,71655.0,51.0
23755.0,5357.0,11412.0,0.0,91809980.0,FIRST NATIONAL COMMUNITY BANK,109 EAST SECOND STREET ,NEW RICHMOND,WI,54017.0,51.0
24006.0,15995.0,0.0,17455.0,221970980.0,PCSB BANK,"2651 STRANG BOULEVARD, SUITE 100 ",YORKTOWN HEIGHTS,NY,10598.0,51.0
24378.0,32307.0,0.0,8123.0,241271054.0,"GALION BUILDING AND LOAN BANK, THE",135 S MARKET STREET ,GALION,OH,44833.0,51.0
24453.0,24334.0,0.0,0.0,102305098.0,ROCKY MOUNTAIN BANK,890 WEST BROADWAY ,JACKSON,WY,83001.0,51.0
24659.0,10178.0,0.0,0.0,91915722.0,PRODUCE STATE BANK,109 PARK AVENUE WEST ,HOLLANDALE,MN,56045.0,51.0
24668.0,3402.0,10646.0,0.0,111912498.0,BTH BANK NATIONAL ASSOCIATION,412 E GOODE ST ,QUITMAN,TX,75783.0,51.0
24949.0,12788.0,0.0,0.0,75901590.0,BARABOO STATE BANK,101 THIRD AVENUE ,BARABOO,WI,53913.0,51.0
25357.0,20093.0,0.0,0.0,103001456.0,ALL AMERICA BANK,200 S. ROCKWELL AVENUE ,OKLAHOMA CITY,OK,73128.0,51.0
25647.0,22536.0,0.0,0.0,71924681.0,FIRST SECURE BANK AND TRUST CO.,10360 SOUTH ROBERTS ROAD ,PALOS HILLS,IL,60465.0,41.0
26176.0,30306.0,705141.0,5141.0,322070145.0,"BROADWAY FEDERAL BANK, F.S.B.","5055 WILSHIRE BOULEVARD, SUITE 100 ",LOS ANGELES,CA,90036.0,51.0
26457.0,16423.0,0.0,0.0,101918279.0,LA MONTE COMMUNITY BANK,201 EAST FRONT STREET ,LA MONTE,MO,65337.0,51.0
26765.0,3405.0,0.0,0.0,114915272.0,VANTAGE BANK TEXAS,"45 NE LOOP 410, SUITE 500 ",SAN ANTONIO,TX,78216.0,51.0
27070.0,29294.0,703235.0,3235.0,291571270.0,PREVAIL BANK,675 EAST BROADWAY AVENUE ,MEDFORD,WI,54451.0,51.0
27548.0,14078.0,0.0,0.0,275971854.0,BLACKHAWK BANK,400 BROAD STREET ,BELOIT,WI,53511.0,41.0
27614.0,10663.0,0.0,0.0,41208719.0,"ANDOVER BANK, THE",19 PUBLIC SQUARE ,ANDOVER,OH,440030519.0,51.0
