IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
37.0,,,,,,,,,,,,,0.0,,22656.0,0.0,88275.0,6411.0,,4325.0,,8412.0,1993.0,0.0,13190.0,3376.0,6988.0,44520.0,0.0,4613.0,13964.0,20845.0,1712.0
242.0,,,,,,,,,,,,,0.0,,25861.0,1832.0,51945.0,3291.0,2146.0,1939.0,,11383.0,6515.0,0.0,6711.0,6483.0,0.0,10539.0,0.0,3276.0,13504.0,6665.0,3862.0
279.0,,,,,,,,,,,,,0.0,27752.0,221859.0,21297.0,361827.0,16489.0,,6136.0,,158229.0,51694.0,0.0,68819.0,14621.0,57883.0,10901.0,0.0,4278.0,86772.0,60126.0,13270.0
354.0,,,,,,,,,,,,,0.0,,10605.0,6947.0,18695.0,406.0,958.0,1141.0,,6339.0,1221.0,0.0,0.0,599.0,67.0,0.0,0.0,944.0,5786.0,2306.0,261.0
457.0,,,,,,,,,,,,,0.0,,53380.0,564.0,63694.0,6610.0,5456.0,8325.0,,18058.0,15626.0,0.0,3768.0,0.0,1.0,20.0,0.0,4397.0,25111.0,9246.0,541.0
505.0,,,,,,,,,,,,,0.0,10000.0,526271.0,929.0,775644.0,148393.0,0.0,27301.0,,233186.0,223140.0,0.0,114137.0,4513.0,27011.0,41117.0,0.0,29603.0,368417.0,27518.0,31988.0
1155.0,,,,,,,,,,,,,0.0,1696.0,290543.0,0.0,454409.0,50144.0,17482.0,58567.0,,66063.0,127203.0,0.0,204277.0,4494.0,7286.0,51337.0,422.0,7345.0,60421.0,43770.0,12394.0
1351.0,,,,,,,,,,,,,0.0,0.0,108382.0,0.0,195919.0,10468.0,12411.0,22372.0,,20072.0,38517.0,0.0,21870.0,55570.0,1583.0,10264.0,0.0,13944.0,42538.0,58542.0,12943.0
1454.0,,,,,,,,,,,,,0.0,0.0,376880.0,0.0,1127965.0,207472.0,2786.0,62993.0,,121015.0,162372.0,1226.0,184102.0,144959.0,205285.0,165912.0,0.0,17477.0,353018.0,51793.0,41397.0
1669.0,,,,,,,,,,,,,0.0,0.0,213616.0,0.0,377275.0,13324.0,,18541.0,,112379.0,56306.0,750.0,98395.0,69110.0,25062.0,30146.0,0.0,20476.0,78689.0,41999.0,10979.0
1856.0,,,,,,,,,,,,,0.0,,26185.0,839.0,49520.0,6232.0,,4039.0,,6742.0,8819.0,0.0,3542.0,222.0,4165.0,8683.0,0.0,3137.0,9644.0,12341.0,2746.0
2161.0,,,,,,,,,,,,,5.0,0.0,181248.0,3794.0,290170.0,27498.0,1508.0,40926.0,,75842.0,61565.0,0.0,43302.0,326.0,26899.0,38699.0,268.0,2915.0,142449.0,15600.0,7671.0
2732.0,,,,,,,,,,,,,0.0,0.0,467600.0,0.0,712774.0,174272.0,0.0,34523.0,,30119.0,403303.0,0.0,49869.0,22599.0,0.0,25309.0,0.0,146.0,190119.0,63604.0,103365.0
2750.0,,,,,,,,,,,,,122.0,,42852.0,663.0,63486.0,744.0,17855.0,2809.0,,1068.0,17018.0,0.0,12754.0,4000.0,288.0,11248.0,0.0,642.0,19489.0,12507.0,2558.0
3252.0,,,,,,,,,,,,,766.0,4882.0,112405.0,5025.0,292535.0,2250.0,46246.0,14888.0,,94.0,39769.0,174.0,95334.0,73790.0,37569.0,47490.0,0.0,5332.0,51623.0,20496.0,34862.0
3458.0,,,,,,,,,,,,,2500.0,,45913.0,128.0,71829.0,494.0,9469.0,13076.0,,9269.0,11451.0,0.0,6660.0,295.0,6358.0,11130.0,0.0,3093.0,12805.0,24887.0,5901.0
3720.0,,,,,,,,,,,,,0.0,0.0,162726.0,0.0,372280.0,90759.0,,22002.0,,36780.0,88994.0,0.0,112313.0,14572.0,50933.0,30955.0,0.0,7936.0,87759.0,26117.0,8793.0
3971.0,,,,,,,,,,,,,5.0,86747.0,735552.0,2545.0,921383.0,28832.0,6264.0,173232.0,,131852.0,363650.0,30182.0,109594.0,51951.0,12802.0,43737.0,0.0,29348.0,244068.0,156947.0,17236.0
4156.0,,,,,,,,,,,,,8277.0,2918.0,165331.0,23072.0,279472.0,7728.0,,12161.0,,60687.0,85800.0,106.0,68974.0,9668.0,10347.0,39949.0,0.0,1769.0,69195.0,40977.0,6120.0
4231.0,,,,,,,,,,,,,0.0,0.0,43261.0,0.0,147341.0,45183.0,,2657.0,,11997.0,23447.0,0.0,25138.0,756.0,17513.0,32467.0,0.0,2414.0,32585.0,26258.0,4878.0
5069.0,,,,,,,,,,,,,0.0,0.0,322851.0,0.0,439801.0,69154.0,0.0,8132.0,,64237.0,250482.0,0.0,1217.0,0.0,0.0,9808.0,0.0,0.0,48700.0,108643.0,27930.0
5135.0,,,,,,,,,,,,,0.0,23305.0,353122.0,0.0,586898.0,108324.0,83024.0,49559.0,,61616.0,147677.0,0.0,98043.0,90154.0,0.0,1233.0,687.0,10356.0,91461.0,132100.0,34216.0
5210.0,,,,,,,,,,,,,40543.0,17686.0,1480021.0,0.0,2818352.0,745278.0,5799.0,120645.0,,443821.0,840191.0,0.0,141849.0,235848.0,140302.0,57053.0,0.0,11245.0,1842592.0,277522.0,108385.0
5461.0,,,,,,,,,,,,,0.0,0.0,421255.0,0.0,847353.0,49362.0,16069.0,39305.0,,33493.0,324273.0,0.0,15901.0,80145.0,130168.0,123705.0,0.0,6838.0,677648.0,11068.0,10559.0
5751.0,,,,,,,,,,,,,42.0,293.0,146508.0,0.0,248465.0,2519.0,17865.0,34721.0,,29287.0,58293.0,570.0,40011.0,6065.0,17521.0,60665.0,0.0,5309.0,84638.0,30361.0,4316.0
6039.0,,,,,,,,,,,,,0.0,0.0,264185.0,51978.0,396305.0,30890.0,3657.0,25350.0,,45923.0,180580.0,0.0,69268.0,25273.0,512.0,2777.0,498.0,6064.0,85925.0,63063.0,9195.0
6329.0,,,,,,,,,,,,,54.0,5000.0,986807.0,1.0,1408099.0,222263.0,378.0,73607.0,,183462.0,369841.0,0.0,163832.0,18611.0,86513.0,12408.0,0.0,360099.0,361907.0,211213.0,70681.0
7009.0,,,,,,,,,,,,,0.0,0.0,433235.0,0.0,1194415.0,340082.0,0.0,97340.0,,0.0,0.0,0.0,0.0,301641.0,0.0,104247.0,0.0,314974.0,873018.0,0.0,0.0
7045.0,,,,,,,,,,,,,0.0,0.0,94160.0,0.0,279758.0,15173.0,5848.0,4895.0,,53484.0,16942.0,0.0,124233.0,612.0,70357.0,62509.0,457.0,10965.0,59015.0,22333.0,3343.0
7072.0,,,,,,,,,,,,,0.0,9710.0,261359.0,16907.0,385081.0,758.0,139.0,16610.0,,168443.0,72489.0,0.0,33010.0,4488.0,31998.0,30186.0,0.0,3037.0,147293.0,60145.0,17015.0
7456.0,,,,,,,,,,,,,127.0,2306.0,74714.0,0.0,121410.0,2639.0,38629.0,10119.0,,3630.0,20198.0,0.0,33091.0,2981.0,1858.0,32846.0,0.0,1957.0,28235.0,18226.0,2025.0
7634.0,,,,,,,,,,,,,0.0,,56778.0,0.0,86181.0,14858.0,7103.0,8475.0,,15369.0,17801.0,0.0,5926.0,321.0,5004.0,7799.0,0.0,8121.0,13985.0,29099.0,8423.0
8033.0,,,,,,,,,,,,,0.0,5136.0,282596.0,22698.0,382965.0,55306.0,8087.0,20011.0,,129764.0,119284.0,0.0,41840.0,2413.0,0.0,2483.0,0.0,5451.0,33848.0,107102.0,33368.0
8462.0,,,,,,,,,,,,,0.0,0.0,57052.0,5623.0,165222.0,6457.0,8735.0,14894.0,,8283.0,16753.0,0.0,47597.0,26438.0,38458.0,21788.0,0.0,8370.0,5115.0,16358.0,13418.0
8631.0,,,,,,,,,,,,,0.0,,37800.0,3613.0,73079.0,8015.0,,4152.0,,18407.0,9734.0,0.0,5015.0,8578.0,6815.0,815.0,0.0,4391.0,24849.0,9588.0,1985.0
9357.0,,,,,,,,,,,,,0.0,0.0,441305.0,116.0,652317.0,129131.0,0.0,156308.0,,1656.0,93929.0,18945.0,33680.0,26739.0,11035.0,983.0,0.0,2561.0,450498.0,1489.0,1456.0
9553.0,,,,,,,,,,,,,469.0,62393.0,119841.0,1076.0,215821.0,4581.0,48881.0,9700.0,,7194.0,48931.0,0.0,26359.0,1107.0,29464.0,47494.0,0.0,1321.0,29983.0,41136.0,7362.0
9807.0,,,,,,,,,,,,,39240.0,0.0,1588751.0,0.0,2804404.0,640975.0,0.0,57097.0,,248148.0,1282259.0,0.0,12364.0,89413.0,4731.0,313292.0,0.0,260.0,1935057.0,126011.0,212772.0
