IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360.0,1617.0,50973.0,0.0,0.0,224.0,26.0,2616.0,80558.0,68896.0,103.0,68999.0,0.0,956.0,0.0,0.0,11559.0,1200.0,80558.0,0.0,0.0,12247.0,0.0,0.0,3500.0,0.0,22032.0,46864.0,1a,331.0,0.0,21698.0,20742.0,-5388.0,0.0,0.0,0.0,0.0,11559.0,0.0,0.0
242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2850.0,1390.0,19178.0,0.0,0.0,523.0,0.0,499.0,54405.0,48068.0,57.0,50968.0,0.0,179.0,2843.0,0.0,3437.0,120.0,54405.0,0.0,0.0,5312.0,0.0,0.0,120.0,0.0,13797.0,34271.0,4.0,1231.0,0.0,28060.0,27881.0,-2115.0,2084.0,0.0,0.0,0.0,3437.0,0.0,0.0
279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603.0,4939.0,98736.0,0.0,371.0,7659.0,0.0,12521.0,417610.0,310596.0,2859.0,375787.0,0.0,2859.0,62332.0,0.0,41823.0,1.0,417610.0,0.0,0.0,31838.0,0.0,0.0,15463.0,0.0,57504.0,253092.0,1a,1231.0,0.0,262738.0,259879.0,-5479.0,1906.0,0.0,0.0,0.0,41823.0,0.0,28996.0
354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,1069.0,964.0,0.0,0.0,550.0,0.0,1292.0,57634.0,41401.0,540.0,50784.0,0.0,594.0,8843.0,0.0,6850.0,100.0,57634.0,0.0,0.0,-494.0,0.0,0.0,7267.0,1107.0,6682.0,34719.0,4.0,1231.0,0.0,45638.0,45044.0,-23.0,5908.0,0.0,0.0,0.0,6850.0,0.0,0.0
457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.0,1675.0,1413.0,0.0,0.0,321.0,31.0,890.0,72134.0,58508.0,207.0,66040.0,0.0,747.0,7325.0,0.0,6094.0,60.0,72134.0,0.0,0.0,2189.0,0.0,0.0,3940.0,0.0,12466.0,46042.0,4.0,1231.0,0.0,67306.0,66559.0,-95.0,242.0,0.0,0.0,0.0,6094.0,10.0,0.0
505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9083.0,6324.0,80370.0,0.0,1808.0,10071.0,0.0,20434.0,765513.0,665633.0,9047.0,699680.0,53.0,7758.0,25000.0,0.0,65780.0,6480.0,765513.0,0.0,0.0,44181.0,0.0,0.0,18403.0,0.0,173115.0,492518.0,2a,1231.0,0.0,645181.0,637423.0,-3284.0,0.0,0.0,0.0,0.0,65833.0,0.0,0.0
1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15317.0,11959.0,66483.0,0.0,9340.0,7274.0,120.0,10608.0,460358.0,411666.0,2451.0,414117.0,0.0,4686.0,0.0,0.0,46241.0,1600.0,460358.0,0.0,0.0,26385.0,0.0,0.0,23696.0,0.0,67728.0,343938.0,5.0,1231.0,0.0,337066.0,332380.0,-5440.0,6877.0,0.0,0.0,0.0,46241.0,0.0,0.0
1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9806.0,4183.0,14099.0,0.0,0.0,4266.0,72.0,2353.0,208186.0,177965.0,840.0,178805.0,0.0,1255.0,0.0,0.0,29381.0,240.0,208186.0,0.0,0.0,29427.0,0.0,0.0,530.0,0.0,31969.0,145996.0,5.0,1231.0,0.0,106814.0,105559.0,-816.0,0.0,0.0,0.0,0.0,29381.0,0.0,67848.0
1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24769.0,10401.0,486173.0,0.0,0.0,3983.0,0.0,17620.0,980243.0,920318.0,4837.0,925155.0,0.0,5759.0,0.0,0.0,55088.0,1000.0,980243.0,0.0,0.0,120692.0,0.0,0.0,1214.0,631.0,337602.0,582716.0,2b,1231.0,0.0,442317.0,436558.0,-67818.0,0.0,0.0,0.0,0.0,55088.0,108.0,0.0
1669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10508.0,6027.0,67268.0,0.0,0.0,3585.0,0.0,20436.0,405738.0,358928.0,1231.0,360159.0,0.0,4787.0,0.0,0.0,45579.0,800.0,405738.0,0.0,0.0,50061.0,0.0,0.0,800.0,0.0,83101.0,275827.0,4.0,1231.0,0.0,276819.0,272032.0,-6082.0,0.0,0.0,0.0,0.0,45579.0,0.0,25882.0
