IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF228,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,20.0,0.0,0.0,815.0,124.0,0.0,,,56.0,,508.0,0.0,,0.0,177.0,1410.0,175.0,52.0,504.0,1279.0,1587.0,102.0,686.0,19.0,,0.0,,,89.0,306.0,306.0,0.0,54.0,306.0,242.0,88.0,397.0,14.0,,10.0,0.0,0.0,,,,,,0.0,,,false,0.0,305.0,,89.0,63.0,,0.0,,0.0,123.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,306.0,0.0,,,,,135.0,8.0,306.0,0.0,0.0,0.0,,0.0
242.0,97.0,0.0,0.0,922.0,50.0,61.0,54.0,,54.0,,127.0,0.0,,0.0,330.0,915.0,70.0,36.0,127.0,546.0,1245.0,35.0,362.0,13.0,,0.0,,,57.0,414.0,439.0,25.0,10.0,414.0,337.0,305.0,47.0,13.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,176.0,,100.0,0.0,,0.0,,0.0,34.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,414.0,32.0,,,,,106.0,82.0,439.0,0.0,0.0,0.0,,0.0
279.0,491.0,-1687.0,0.0,5927.0,198.0,70.0,0.0,,302.0,,287.0,3.0,,0.0,3412.0,5322.0,959.0,324.0,1634.0,5357.0,8734.0,128.0,3255.0,60.0,,0.0,,,402.0,-726.0,-947.0,-221.0,17.0,-726.0,4049.0,1184.0,186.0,114.0,,94.0,0.0,0.0,,,,,,0.0,,,false,0.0,194.0,,59.0,2166.0,,-1.0,,-1.0,637.0,0.0,66.0,,,,,,,,,,,,,,0.0,,,,,,0.0,-726.0,1162.0,,,,,1396.0,249.0,-947.0,0.0,0.0,0.0,,184.0
354.0,54.0,0.0,0.0,1551.0,95.0,81.0,38.0,,38.0,,0.0,0.0,,0.0,741.0,948.0,430.0,18.0,518.0,1864.0,1689.0,26.0,1129.0,24.0,,0.0,,,217.0,-341.0,-457.0,-116.0,0.0,-341.0,799.0,583.0,0.0,0.0,,18.0,0.0,400.0,,,,,,0.0,,,false,0.0,36.0,,13.0,0.0,,0.0,,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,-341.0,220.0,,,,,433.0,34.0,-457.0,0.0,0.0,0.0,,-29.0
457.0,194.0,0.0,0.0,1915.0,266.0,5.0,201.0,,219.0,,13.0,0.0,,0.0,472.0,1473.0,65.0,48.0,255.0,921.0,1945.0,7.0,560.0,11.0,,0.0,,,106.0,570.0,611.0,41.0,19.0,570.0,717.0,494.0,0.0,2.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,219.0,,5.0,0.0,,0.0,,0.0,17.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,570.0,86.0,,,,,148.0,42.0,604.0,7.0,0.0,0.0,,13.0
505.0,2304.0,-43.0,0.0,13913.0,808.0,1.0,0.0,,162.0,,537.0,0.0,,492.0,3604.0,11965.0,1646.0,306.0,2867.0,9808.0,15569.0,71.0,6024.0,124.0,,0.0,,,917.0,2821.0,3520.0,699.0,155.0,2821.0,5903.0,6157.0,32.0,154.0,,206.0,0.0,-1.0,,,,,,0.0,,,false,0.0,883.0,,499.0,342.0,,35.0,,19.0,677.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2821.0,789.0,,,,,181.0,176.0,3520.0,0.0,77.0,41.0,,240.0
1155.0,442.0,0.0,0.0,9763.0,2335.0,160.0,422.0,,548.0,,578.0,0.0,,161.0,2072.0,8972.0,2109.0,295.0,2439.0,6859.0,11044.0,204.0,3650.0,80.0,,0.0,,,734.0,3522.0,3619.0,97.0,103.0,3522.0,2663.0,3866.0,331.0,1173.0,,17.0,23.0,59.0,,,,,,0.0,,,true,18.0,333.0,,155.0,167.0,,0.0,,7.0,1379.0,0.0,36.0,,,,,,,,,,,,,,0.0,,,,,,0.0,3522.0,0.0,,,,,299.0,158.0,3619.0,0.0,176.0,9.0,,603.0
1351.0,666.0,0.0,0.0,3862.0,784.0,0.0,215.0,,215.0,,86.0,0.0,,0.0,2106.0,2614.0,303.0,155.0,660.0,2171.0,4720.0,253.0,1248.0,35.0,,0.0,,,263.0,611.0,611.0,0.0,0.0,611.0,649.0,1399.0,86.0,247.0,,0.0,-12.0,0.0,,,,,,0.0,,,true,0.0,815.0,,519.0,0.0,,0.0,,0.0,142.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,611.0,0.0,,,,,834.0,359.0,611.0,0.0,0.0,18.0,,135.0
1454.0,597.0,-530.0,0.0,10871.0,2001.0,0.0,135.0,,135.0,,1874.0,10.0,,2196.0,2234.0,14359.0,5014.0,157.0,3899.0,11868.0,16593.0,686.0,6229.0,134.0,,50.0,,,1740.0,6942.0,6942.0,0.0,10.0,6942.0,2431.0,5988.0,393.0,541.0,,21.0,0.0,49.0,,,,,,0.0,,,true,0.0,316.0,,1456.0,1675.0,,56.0,,0.0,2216.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,6942.0,0.0,,,,,403.0,643.0,6925.0,17.0,340.0,0.0,,50.0
1669.0,123.0,0.0,0.0,7061.0,777.0,0.0,250.0,,257.0,,300.0,7.0,,0.0,2253.0,5778.0,985.0,186.0,1538.0,3991.0,8031.0,215.0,2135.0,53.0,,10.0,,,318.0,2078.0,2528.0,450.0,7.0,2078.0,3494.0,1840.0,225.0,1056.0,,15.0,0.0,0.0,,,,,,0.0,,,false,0.0,693.0,,273.0,160.0,,0.0,,7.0,792.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2078.0,91.0,,,,,676.0,297.0,2528.0,0.0,0.0,0.0,,244.0
1856.0,264.0,0.0,0.0,890.0,102.0,44.0,129.0,,129.0,,110.0,0.0,,0.0,410.0,922.0,944.0,18.0,268.0,575.0,1332.0,96.0,218.0,8.0,,0.0,,,89.0,1271.0,1271.0,0.0,0.0,1271.0,198.0,314.0,0.0,3.0,,17.0,896.0,0.0,,,,,,0.0,,,true,0.0,147.0,,3.0,172.0,,0.0,,0.0,30.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,1271.0,0.0,,,,,117.0,26.0,1271.0,0.0,0.0,0.0,,20.0
2161.0,928.0,-4.0,0.0,6074.0,375.0,99.0,45.0,,45.0,,502.0,0.0,,0.0,2122.0,5876.0,899.0,377.0,1917.0,5762.0,7998.0,82.0,3043.0,71.0,,0.0,101.0,0.0,802.0,799.0,999.0,200.0,0.0,799.0,2258.0,3281.0,350.0,779.0,0.0,38.0,0.0,0.0,,,,,,0.0,0.0,0.0,false,17.0,98.0,,86.0,1117.0,0.0,0.0,0.0,18.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,799.0,,,,,,246.0,68.0,999.0,0.0,,,,10.0
2732.0,1291.0,0.0,0.0,12673.0,953.0,0.0,0.0,,9.0,,192.0,0.0,,114.0,4230.0,10665.0,446.0,129.0,1582.0,6671.0,14895.0,1719.0,4198.0,62.0,,0.0,,,891.0,2900.0,4440.0,1540.0,0.0,2900.0,816.0,10891.0,188.0,209.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,4.0,,311.0,0.0,,0.0,,0.0,116.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2900.0,0.0,,,,,693.0,2037.0,4440.0,0.0,87.0,0.0,,0.0
2750.0,161.0,0.0,0.0,1479.0,177.0,10.0,768.0,,768.0,,110.0,0.0,,0.0,494.0,1203.0,110.0,14.0,354.0,963.0,1697.0,8.0,533.0,8.0,,9.0,,,76.0,362.0,362.0,0.0,0.0,362.0,25.0,477.0,108.0,76.0,,7.0,0.0,0.0,,,,,,0.0,,,true,0.0,32.0,,80.0,3.0,,28.0,,0.0,68.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,362.0,57.0,,,,,149.0,42.0,350.0,12.0,0.0,0.0,,0.0
3252.0,150.0,-298.0,0.0,4032.0,307.0,50.0,1414.0,,1738.0,,573.0,6.0,,0.0,785.0,5755.0,1953.0,473.0,774.0,2564.0,6540.0,3.0,1706.0,40.0,,31.0,,,84.0,4783.0,4846.0,63.0,19.0,4783.0,1.0,1488.0,552.0,111.0,,37.0,0.0,0.0,,,,,,0.0,,,true,0.0,498.0,,1043.0,796.0,,120.0,,0.0,1360.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,4783.0,36.0,,,,,237.0,220.0,4846.0,0.0,0.0,0.0,,0.0
3458.0,32.0,0.0,0.0,1416.0,123.0,7.0,128.0,,128.0,,117.0,3.0,,0.0,582.0,1148.0,101.0,47.0,312.0,1097.0,1730.0,38.0,594.0,19.0,,9.0,,,191.0,129.0,152.0,23.0,3.0,129.0,353.0,710.0,53.0,13.0,,9.0,-6.0,0.0,,,,,,0.0,,,false,0.0,102.0,,78.0,62.0,,0.0,,2.0,60.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,129.0,18.0,,,,,435.0,75.0,152.0,0.0,0.0,-2.0,,0.0
3720.0,175.0,0.0,0.0,4716.0,695.0,0.0,92.0,,171.0,,420.0,0.0,,0.0,805.0,6561.0,1235.0,401.0,1577.0,4437.0,7366.0,1239.0,2463.0,57.0,,0.0,,,397.0,2709.0,3359.0,650.0,75.0,2709.0,1152.0,2375.0,347.0,297.0,,9.0,0.0,29.0,,,,,,0.0,,,false,0.0,323.0,,371.0,611.0,,0.0,,0.0,707.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,2709.0,0.0,,,,,257.0,76.0,3359.0,0.0,98.0,0.0,,0.0
