IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33
37.0,29.0,2.0,0.0,1295.0,184.0,0.0,,,123.0,,746.0,0.0,,0.0,350.0,2065.0,251.0,80.0,739.0,1901.0,2415.0,133.0,1029.0,19.0,,0.0,,,133.0,417.0,417.0,0.0,118.0,417.0,380.0,130.0,581.0,20.0,,13.0,0.0,0.0,,,,,,0.0,,,false,0.0,478.0,,135.0,93.0,,0.0,,0.0,171.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,417.0,38.0,,,,,251.0,12.0,417.0,0.0,0.0,0.0,,0.0
242.0,153.0,0.0,0.0,1423.0,80.0,81.0,81.0,,81.0,,197.0,0.0,,0.0,527.0,1381.0,110.0,58.0,187.0,817.0,1908.0,57.0,527.0,12.0,,0.0,,,103.0,641.0,674.0,33.0,15.0,641.0,516.0,470.0,74.0,22.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,276.0,,150.0,0.0,,0.0,,0.0,51.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,641.0,49.0,,,,,172.0,131.0,674.0,0.0,1.0,0.0,,0.0
279.0,828.0,-1687.0,0.0,9370.0,292.0,131.0,0.0,,440.0,,432.0,3.0,,0.0,5545.0,8196.0,1521.0,496.0,2463.0,8099.0,13741.0,201.0,4942.0,63.0,,0.0,,,595.0,-194.0,-282.0,-88.0,40.0,-194.0,6231.0,2106.0,242.0,166.0,,251.0,36.0,0.0,,,,,,0.0,,,false,0.0,301.0,,98.0,3255.0,,-2.0,,-1.0,992.0,0.0,99.0,,,,,,,,,,,,,0.0,,,,,,0.0,-194.0,1849.0,,,,,2274.0,428.0,-282.0,0.0,0.0,0.0,,213.0
354.0,86.0,0.0,0.0,2493.0,155.0,134.0,59.0,,59.0,,0.0,0.0,,0.0,1223.0,1486.0,637.0,28.0,1198.0,3281.0,2709.0,34.0,1752.0,23.0,,0.0,,,331.0,-842.0,-1129.0,-287.0,0.0,-842.0,1164.0,991.0,0.0,0.0,,28.0,0.0,593.0,,,,,,0.0,,,false,0.0,124.0,,20.0,0.0,,0.0,,0.0,16.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,-842.0,348.0,,,,,721.0,68.0,-1129.0,0.0,0.0,0.0,,-29.0
457.0,331.0,0.0,0.0,2988.0,427.0,9.0,333.0,,363.0,,28.0,0.0,,0.0,829.0,2216.0,93.0,71.0,395.0,1376.0,3045.0,12.0,820.0,11.0,,1.0,,,161.0,800.0,871.0,71.0,30.0,800.0,1118.0,737.0,0.0,4.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,343.0,,8.0,0.0,,0.0,,0.0,22.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,800.0,155.0,,,,,259.0,79.0,864.0,7.0,0.0,0.0,,69.0
505.0,3378.0,-55.0,0.0,21556.0,1221.0,1.0,0.0,,261.0,,798.0,0.0,,749.0,6485.0,17837.0,2414.0,454.0,4488.0,14711.0,24322.0,377.0,8832.0,121.0,,0.0,,,1391.0,4118.0,5125.0,1007.0,249.0,4118.0,9323.0,9376.0,44.0,445.0,,368.0,0.0,-2.0,,,,,,0.0,,,false,0.0,1375.0,,729.0,493.0,,52.0,,19.0,981.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,4118.0,1674.0,,,,,343.0,645.0,5125.0,0.0,118.0,43.0,,360.0
1155.0,726.0,0.0,0.0,15234.0,3611.0,229.0,690.0,,882.0,,876.0,0.0,,249.0,3649.0,13523.0,3131.0,414.0,3575.0,10096.0,17172.0,317.0,5416.0,81.0,,0.0,,,1051.0,5511.0,5651.0,140.0,155.0,5511.0,4185.0,6021.0,495.0,2109.0,,25.0,23.0,87.0,,,,,,0.0,,,true,27.0,508.0,,239.0,252.0,,0.0,,9.0,2043.0,0.0,54.0,,,,,,,,,,,,,0.0,,,,,,0.0,5511.0,0.0,,,,,550.0,264.0,5651.0,0.0,296.0,10.0,,907.0
1351.0,1017.0,0.0,0.0,6032.0,1211.0,0.0,329.0,,329.0,,130.0,0.0,,0.0,3413.0,3965.0,447.0,213.0,1077.0,3339.0,7378.0,403.0,1878.0,35.0,,0.0,,,384.0,893.0,893.0,0.0,0.0,893.0,1018.0,2213.0,130.0,379.0,,0.0,-12.0,0.0,,,,,,0.0,,,true,0.0,1261.0,,813.0,0.0,,0.0,,0.0,217.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,893.0,0.0,,,,,1409.0,608.0,893.0,0.0,0.0,29.0,,180.0
1454.0,1012.0,-727.0,0.0,17046.0,3075.0,0.0,229.0,,229.0,,2708.0,14.0,,3275.0,3894.0,21697.0,7576.0,247.0,6064.0,17859.0,25591.0,1156.0,9206.0,133.0,,50.0,,,2589.0,10654.0,10654.0,0.0,14.0,10654.0,3671.0,9556.0,590.0,1093.0,,33.0,0.0,82.0,,,,,,0.0,,,true,0.0,515.0,,2159.0,2475.0,,82.0,,157.0,3155.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,10654.0,0.0,,,,,727.0,1012.0,10637.0,17.0,578.0,0.0,,50.0
1669.0,185.0,0.0,0.0,11018.0,1247.0,0.0,396.0,,406.0,,437.0,11.0,,0.0,3797.0,8652.0,1443.0,270.0,2355.0,6028.0,12449.0,311.0,3190.0,50.0,,12.0,,,483.0,3042.0,3700.0,658.0,11.0,3042.0,5454.0,2845.0,326.0,1652.0,,26.0,0.0,0.0,,,,,,0.0,,,false,0.0,1066.0,,410.0,236.0,,0.0,,8.0,1165.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,3042.0,172.0,,,,,1225.0,551.0,3700.0,0.0,0.0,0.0,,367.0
