IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJJ33
37.0,9.0,0.0,0.0,449.0,54.0,0.0,,,41.0,,239.0,0.0,,0.0,175.0,641.0,78.0,30.0,257.0,661.0,816.0,46.0,356.0,19.0,,0.0,,,48.0,58.0,58.0,0.0,36.0,58.0,154.0,38.0,184.0,7.0,,6.0,0.0,0.0,,,,,,0.0,,,false,0.0,162.0,,47.0,29.0,,0.0,,0.0,48.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,58.0,0.0,,,,,155.0,4.0,58.0,0.0,0.0,0.0,0.0
242.0,67.0,0.0,0.0,556.0,34.0,18.0,,,33.0,,69.0,0.0,,0.0,231.0,483.0,34.0,18.0,60.0,266.0,714.0,18.0,179.0,12.0,,2.0,,,27.0,240.0,251.0,11.0,5.0,240.0,196.0,187.0,29.0,15.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,106.0,,53.0,0.0,,0.0,,0.0,16.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,240.0,19.0,,,,,78.0,50.0,251.0,0.0,0.0,0.0,0.0
279.0,385.0,0.0,0.0,3736.0,94.0,67.0,0.0,,78.0,,156.0,2.0,,0.0,2455.0,2992.0,-3590.0,162.0,995.0,2981.0,5447.0,256.0,1668.0,66.0,,0.0,,,285.0,-2612.0,-3301.0,-689.0,32.0,-2612.0,2318.0,1135.0,113.0,102.0,,169.0,37.0,-3781.0,,,,,,0.0,,,false,0.0,111.0,,38.0,1023.0,,2.0,,-283.0,273.0,0.0,33.0,,,,,,,,,,,,,0.0,,,,,,0.0,-2612.0,696.0,,,,,995.0,277.0,-3301.0,0.0,0.0,0.0,-278.0
354.0,59.0,0.0,0.0,1445.0,45.0,83.0,,,13.0,,0.0,0.0,,0.0,456.0,1092.0,70.0,17.0,653.0,1269.0,1548.0,8.0,506.0,24.0,,0.0,,,110.0,-87.0,-117.0,-30.0,0.0,-87.0,421.0,436.0,0.0,0.0,,5.0,0.0,51.0,,,,,,0.0,,,false,0.0,530.0,,7.0,0.0,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,-87.0,36.0,,,,,326.0,35.0,-117.0,0.0,0.0,0.0,10.0
457.0,135.0,0.0,0.0,1144.0,170.0,37.0,133.0,,147.0,,7.0,0.0,,0.0,465.0,730.0,-5.0,20.0,176.0,487.0,1195.0,4.0,268.0,8.0,,0.0,,,43.0,198.0,198.0,0.0,14.0,198.0,452.0,259.0,0.0,1.0,,0.0,-25.0,0.0,,,,,,0.0,,,true,0.0,116.0,,3.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,198.0,60.0,,,,,212.0,57.0,195.0,3.0,0.0,0.0,43.0
505.0,2173.0,0.0,0.0,8396.0,409.0,0.0,0.0,,121.0,,189.0,0.0,,308.0,3495.0,5953.0,1051.0,164.0,1571.0,5335.0,9448.0,40.0,3256.0,124.0,,1.0,,,508.0,1199.0,1489.0,290.0,117.0,1199.0,3586.0,3686.0,0.0,47.0,,175.0,0.0,0.0,,,,,,0.0,,,false,0.0,594.0,,136.0,512.0,,17.0,,0.0,512.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,1199.0,450.0,,,,,699.0,125.0,1489.0,0.0,43.0,7.0,180.0
1155.0,291.0,0.0,0.0,5849.0,1266.0,23.0,274.0,,340.0,,344.0,0.0,,96.0,2075.0,4439.0,1052.0,111.0,1169.0,3374.0,6514.0,119.0,1824.0,80.0,,0.0,,,363.0,1785.0,1814.0,29.0,38.0,1785.0,1666.0,2429.0,167.0,1117.0,,12.0,0.0,53.0,,,,,,0.0,,,true,9.0,139.0,,107.0,60.0,,0.0,,6.0,682.0,0.0,18.0,,,,,,,,,,,,,0.0,,,,,,0.0,1785.0,0.0,,,,,471.0,196.0,1814.0,0.0,99.0,5.0,303.0
1351.0,339.0,0.0,0.0,2481.0,475.0,0.0,127.0,,127.0,,59.0,0.0,,0.0,1451.0,1475.0,164.0,87.0,294.0,1059.0,2926.0,89.0,630.0,36.0,,0.0,,,135.0,535.0,535.0,0.0,0.0,535.0,423.0,963.0,59.0,133.0,,0.0,0.0,0.0,,,,,,0.0,,,true,0.0,493.0,,297.0,0.0,,0.0,,0.0,61.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,535.0,0.0,,,,,694.0,285.0,535.0,0.0,0.0,16.0,45.0
1454.0,396.0,0.0,0.0,6257.0,1185.0,0.0,74.0,,74.0,,767.0,7.0,,1200.0,1872.0,7140.0,2652.0,71.0,2060.0,6267.0,9012.0,553.0,3292.0,132.0,,0.0,,,915.0,3529.0,3529.0,0.0,7.0,3529.0,1320.0,3444.0,193.0,640.0,,11.0,0.0,50.0,,,,,,0.0,,,true,0.0,234.0,,635.0,782.0,,25.0,,0.0,1063.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,3529.0,0.0,,,,,430.0,406.0,3525.0,4.0,243.0,0.0,0.0
1669.0,54.0,0.0,0.0,4335.0,512.0,0.0,120.0,,122.0,,127.0,2.0,,0.0,2088.0,2733.0,476.0,92.0,771.0,2020.0,4821.0,123.0,1079.0,50.0,,0.0,,,170.0,882.0,1065.0,183.0,2.0,882.0,2247.0,1075.0,90.0,778.0,,12.0,0.0,0.0,,,,,,0.0,,,false,0.0,379.0,,136.0,86.0,,0.0,,6.0,378.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,882.0,87.0,,,,,747.0,422.0,1065.0,0.0,0.0,0.0,124.0
