"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
37												
242												
279												
354												
457												
505												
1155												
1351												
1454												
1669												
1856												
2161												
2732												
2750												
3252												
3458												
3720												
3971												
4156												
4231												
5069												
5135												
5210												
5461												
5751												
6039						25357	177	0	3494	16024	5662	
6329						154282	78	0	16652	19329	118223	
7009												
7045												
7072												
7456												
7634												
8033												
8462												
8631												
9357												
9553												
9807						99568	8432	0	5081	8785	77270	
9955												
10250												
10849												
11145						39744	1	0	3364	17902	18477	
11640												
11837												
12030												
12142												
12311	4217939	1294029	41055	192214	2690641	4203939	464850	27055	829179	192214	2690641	
12647												
12656												
12946												
13103						46507	21188	0	3388	3795	18136	
13251												
13457												
14155												
14650												
14753												
14865												
14977												
16551												
17110												
17147						298402	646	0	63119	93900	140737	
17259												
17950												
17978												
18050												
18827												
18836												
18854						148737	21178	0	4372	1501	121686	
19356												
19936												
19972												
20053												
20633												
20857												
21256												
21359												
21658												
22048												
22543												
22552												
22730												
23456												
23504						308660	130	0	39727	32384	236419	
23643												
23755												
24006												
24378												
24659												
24668												
24949												
25357												
25647						43136	0	0	2779	11148	29209	
26457												
26765												
27070												
27548												
27614												
27847												
28013						70665	0	0	9045	11435	50185	
28152												
28675												
28732												
29476												
29636												
29878						191227	0	0	2215	17502	171510	
30052												
30502												
30650												
30810	9890454	711019	0	1398839	7780596	9890454	710780	0	239	1398839	7780596	
31134												
