"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT89	RCONMT91	RCONMT93	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Not fully insured, affiliate sweep d	Fully insured, non-affiliate sweep d	Not fully insured, non-affiliate swe	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	12123	0	6261	22748	0	34851	0	0	0	0	35428	0	407		14169	2310		28590	35021	0	0	225	0	0	3262	9413	5997	598	12675	521	517	384	303	5101	1725	0	0	1038	0													
242	8059	0	1024	12603	0	20428	0	0	0	0	28166	0	8318		4331	6162		19404	19848	0	0	0	0	0	904	2602	1934	839	3506	263	6871	533	0	1948	7667	0	0	7134	0													
279	79861	0	551	62024	0	138015	0	0	0	0	157495	0	958		23487	11799		137464	156537	0	0	5294	0	0	9270	25927	17126	1233	35197	2422	7741	2116	0	30069	12279	0	0	10163	0													
354	2184	0	160	9024	0	9024	0	0	4308	0	23637	0	938		1450	7159		8864	16094	0	6605	0	4308	1828	3952	2892	2820	4367	6844	0	263	0	0	12581	263	0	0	263	6605													
457	9155	0	569	12070	0	16267	0	0	0	0	40903	0	7807		6538	20138		15698	33096	0	0	854	0	0	1567	6847	2367	282	8414	0	547	0	0	4525	547	0	0	547	0													
505	116506	15	67423	191125	0	304865	0	0	0	0	394309	0	110019		16837	235227		237427	284290	0	0	771	0	0	8740	14954	4319	573	23422	2790	4930	6270	0	11749	13990	27873	0	7720	0													
1155	1218	1	19813	88052	0	300853	0	0	0	0	94985	0	7972		25924	42354		280644	87013	395	0	2855	0	0	13651	15176	9033	1471	25455	2498	6690	2894	0	13407	12082	1224	0	8155	0													
1351	12295	0	10401	31683	0	52091	0	0	0	0	117047	0	10068		33452	32570		41690	106979	0	0	4442	0	0	11427	32588	15669	0	44015	1051	11083	363	0	26232	12498	0	0	12134	0													
1454	1075	0	42653	295454	0	499510	0	0	0	0	408094	671	33960		33621	314158		456359	373463	498	0	9897	0	0	18934	18360	10385	4093	30763	31175	3877	3258	2779	18151	41089	16040	0	7369	0													
