"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	485					45	0	49439					0	0	0			0	39441	0	0										0		
242	0	5431					204	0	20075					2843	0	0			0	8983	0	0										0		
279	0	14592					2051	28821	78340					35015	0	0			2017	13875	0	0										0		
354	0	233					394	0	1205					22806	0	0			0	0	0	0										0		
457	0	1382					409	0	1382					7000	0	0			0	0	0	0										3		
505	0	13992					5076	0	73072					10000	0	0			0	24060	0	0										0		
1155	0	2095					987	0	63975					0	0	0			0	44628	0	0										0		
1351	0	0					237	68182	9103					0	0	0			9705	0	0	0										0		
1454	0	36640					1443	0	482809					0	0	0			0	140084	0	0										90		
1669	0	45451					421	27808	69433					0	0	0			27808	0	0	0										0		
1856	0	0					220	1000	9778					0	0	0			0	0	0	0										0		
2161	0	1920					1454	0	107996					0	0	0			0	35279	0	0										0		
2732	0	13741					1140	0	55732					0	0	0			0	26250	0	0										0		
2750	0	480					235	0	15907					1325	0	0			0	8360	0	0										39		
3252	0	83510					636	0	181946					3000	0	0			0	47779	0	0										0		
3458	0	557					376	1693	16066					3500	0	0			1693	8270	0	3500										0		
3720	0	13964					320	42012	82536					0	0	0			34257	0	0	0										0		
3971	0	32145					4973	0	126364					96258	0	0			0	5603	0	0										877		
4156	0	5267					431	0	58747					1500	0	0			0	37218	0	6970										121		
4231	0	11030					0	0	55563					0	0	0			0	26901	0	0										0		
5069	0	0					0	0	8383					0	0	0			0	1555	0	0										877		
5135	0	19788					1172	0	91174					23257	0	0			0	1581	0	0										0		
5210	0	0					1653	66304	503193					3330	0	0			61520	7006	0	41641										948		
5461	4764	0					4516	249292	90139					0	0	0			94743	12507	0	0										0		
5751	0	1684					545	6250	83062					12000	0	0			0	44593	0	0										169		
6039	0	31572					249	0	35623					0	0	0			0	1435	0	0										0		
6329	0	0					720	0	153451					0	0	0			0	10832	0	0										0		
7009	0	0					0	0	161953					0	0	0			0	70678	0	0										3035		
7045	0	0					669	369	144305					0	0	0			369	58402	0	0										0		
7072	1994	0					2963	50932	39479					7500	0	0			6119	5486	0	0										0		
7456	0	5399					575	0	44384					0	0	0			0	35606	0	0										0		
7634	0	567					81	0	13302					0	0	0			0	5914	0	0										0		
8033	0	483					1815	0	14315					5136	0	0			0	1899	0	0										0		
8462	0	3729					21	0	95236					0	0	0			0	25833	0	0										0		
8631	0	0					343	1000	17313					0	0	0			0	298	0	0										0		
