"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37																															
242																															
279																															
354																															
457																															
505																															
1155																															
1351																															
1454																															
1669																															
1856																															
2161			34	1387	23	4065	42	19887	148	7033	26	3750	7	3322			15	790	8	1458	9	3324	13	165	1	231	0	0	false	false	
2732																															
2750																															
3252																															
3458																															
3720																															
3971																															
4156																															
4231																															
5069																															
5135																															
5210																															
5461																															
5751																															
6039			62	2264	68	9098	121	44914	260	5183	19	1904	10	3551			69	2527	43	5237	28	6218	64	1316	6	627	3	712	false	false	
6329			173	16251	160	22992	220	90493	1971	53921	127	18286	42	10411			23	877	9	957	4	366	6	151	0	0	1	300	false	false	
7009																															
7045			32	1333	22	2358	17	6229	36	1186	12	1300	5	1198			7	211	9	935	8	2068	23	491	12	967	4	539	false	false	
7072																															
7456																															
7634																															
8033																															
8462																															
8631																															
9357																															
9553																															
9807			10	417	25	3091	80	31482	11	363	10	885	7	2010															false	false	
9955																															
10250																															
10849																															
11145			73	3083	98	13363	95	31613	89	2472	17	2100	17	4372			1	95	3	238	2	585	1	12	0	0	0	0	false	false	
11640																															
11837																															
12030																															
12142																															
12311			1397	55031	2698	298231	4309	1557912	57979	966725	16785	1432853	16600	4230839			66	2679	116	12059	71	16807	850	23535	473	40719	208	35803			
12647																															
12656																															
12946																															
13103			51	2797	161	19521	335	111895	262	11642	112	9505	102	23825			0	0	0	0	0	0	0	0	1	244	0	0	false	false	
13251																															
13457																															
14155																															
14650																															
14753																															
14865																															
14977			3	133	3	332	3	1028	74	1763	6	489	1	248			7	255	19	2888	7	1837	61	1617	19	1660	11	1647	false	false	
16551																															
17110			0	0	0	0	0	0	1	41	0	0	6	2271															false	false	
17147			414	16166	748	89160	1453	595242	5279	86296	1006	74213	1358	322804			156	5083	236	25209	177	46474	228	5497	152	10839	95	15401	false	false	
17259																															
17950																															
17978																															
18050																															
18827																															
18836																															
18854			23	886	39	5217	90	42150	239	6683	93	13624	111	68226			15	586	32	3559	21	5524	132	4134	33	3648	15	3494	false	false	
19356																															
19936																															
19972																															
20053																															
20633																															
20857																															
21256																															
21359																															
21658			87	3738	50	5934	20	6143	107	2450	6	716	2	341			65	2432	57	7899	41	9266	135	2327	27	2550	17	3638	false	false	
22048																															
22543																															
22552																															
22730																															
23456																															
23504			7	222	53	6576	496	239285	1898	59394	418	34410	579	137272															false	false	
23643																															
23755																															
24006																															
24378																															
24659																															
24949																															
25357																															
25647			23	1474	79	12748	120	52358	40	1203	27	3683	15	4485	60	0													true	false	
26765																															
27070																															
27548																															
27614																															
27847																															
28013			9	638	80	9060	255	90751	282	9289	347	41657	96	24377															false	false	
28152			20	652	19	2759	17	5396	117	3142	32	4024	17	5837			20	864	61	7242	24	6445	94	2409	28	2925	18	3955	false	false	
28675			40	1508	32	3802	20	4628	85	2225	15	1544	11	1792			42	1282	28	3166	12	3566	53	1209	9	856	1	287	false	false	
28732																															
29476																															
29636																															
29878			32	440	73	8014	469	201586	0	0	0	0	0	0															false	false	
30052																															
30502																															
30650																															
30810			0	0	0	0	0	0	69864	154767	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0			
31134			14	571	23	3243	18	5699	189	4737	20	2080	9	2697			15	737	13	1503	6	1878	16	603	5	383	3	290	false	false	
31255			2	26	12	1494	56	27147	276	7349	88	10237	73	29547			0	0	0	0	1	418	0	0	0	0	0	0	false	false	
31657																															
31826			199	7810	121	16693	106	39653	239	5896	25	3268	18	6992			49	2005	17	2091	3	711	86	1329	3	270	2	235	false	false	
31835																															
32234																															
32766																															
32971																															
33147																															
33259																															
33370																															
33839																															
33857			44	1832	65	9033	122	48477	407	10973	110	11512	123	34899			106	3632	117	14510	106	26429	407	5386	110	6023	81	9649	false	false	
34434																															
34537			162	11458	686	88708	2008	799473	2299	153348	1186	100184	1109	269455			1	41	5	545	4	769	29	536	11	686	6	751	false	false	
34555			55	2174	31	3192	24	6160	121	2461	26	2600	14	4197			80	1989	71	8727	35	9840	144	3029	48	3640	15	2728	false	false	
34742																															
35057			81	2614	57	6525	35	10668	91	2158	20	1355	14	2805			85	3715	70	8529	47	12999	157	3210	24	2243	7	821	false	false	
35301			0	0	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0	0	0	0	0	0	0			
35646																															
35879																															
36456																															
36933																															
37051																															
37341																															
37435																															
37640			451	18808	566	70326	605	234617	1368	42694	461	49177	404	140247			473	20505	444	53544	299	79952	424	11781	93	12031	57	15386	false	false	
37659			6	248	6	917	7	2435	87	1967	18	1699	12	3807			12	383	13	1944	1	184	115	2109	6	710	1	130	false	false	
37949																															
38740																															
39327																															
39756			97	2234	60	7261	115	52811	1262	11820	134	10788	162	46511			46	1513	61	9074	31	9039	685	8653	85	7981	48	8185	false	false	
40033																															
40499			27	1456	133	16337	304	115832	774	15252	193	12377	249	59832															false	false	
40855																															
41553																															
41629																															
41825			5	289	44	6581	102	42115	193	5142	121	11961	168	43069			6	306	11	1834	14	4135	0	0	0	0	0	0	false	false	
42037																															
42354																															
42372																															
42420			338	11533	568	60818	813	291815	6551	57907	542	36691	636	129968			5	56	8	540	3	703	13	210	1	82	0	0	false	false	
42448			106	4508	137	16530	174	62737	858	21314	151	15743	92	27416			99	3660	101	12739	58	15323	230	4889	60	5393	64	8828	false	false	
42457																															
43052																															
43351																															
43856																															
43959																															
44040																															
44433			0	0	12	1962	36	16975	5	167	6	857	12	4155			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
44741																															
44750																															
44929			20	619	28	3123	26	8976	63	1679	14	1674	9	1162			5	203	4	282	4	1327	2	62	1	48	1	0	false	false	
45038			7	301	7	832	13	4202	51	1305	23	2309	22	5553			12	443	14	1574	7	2052	32	518	9	543	4	495	false	false	
45047																															
45056																															
45430																															
45458																															
45551																															
45560			13	735	85	11151	222	85742	319	9493	140	12869	120	28405			1	15	4	646	4	1145	1	49	1	23	0	0	false	false	
45775																															
46053																															
46941																															
47247			22	1177	56	8294	116	51718	47	1244	28	1862	47	13359			8	322	9	1175	4	951	9	199	4	365	4	300	false	false	
47256																															
47500																															
48057																															
48150																															
48374																															
48440																															
49054																															
49148																															
49241																															
49652																															
49858																															
49951																															
50144																															
50461			0	0	10	1369	28	12927	6	262	4	639	5	1069															false	false	
51253			52	2283	50	6091	55	19358	138	2847	17	1438	11	2802			10	442	11	1430	13	842	16	366	0	0	0	0	false	false	
51356	5	63													0	16													true	true	
51459																															
51842			9	368	14	1749	20	9068	71	2128	20	2681	21	8511			21	619	51	3189	59	8189	138	4070	50	5042	26	5934	false	false	
52719																													false	false	
52951																															
53051																															
54058			59	2048	48	5714	20	7903	228	4058	17	1261	5	1401			52	1952	66	8648	57	16161	157	3643	51	4415	41	7926	false	false	
54656			75	1809	26	2806	26	8693	361	8485	61	7065	53	16264			63	2470	55	7426	20	5896	422	6646	21	2006	7	1200	false	false	
54973			0	0	10	1392	73	35231	965	22711	42	4090	71	25405	0	6													true	false	
55336																															
55635																															
55653																															
55970																															
56258																															
56351			156	7233	289	38192	338	150403	2475	68134	467	50307	305	89649			128	5406	76	10272	28	7646	413	7987	30	3150	4	1130	false	false	
56548																															
56717																															
57040			20	742	17	1781	9	4236	128	2403	12	1086	7	1546			20	742	17	1781	9	4236	128	2403	12	1086	7	1546	false	false	
57451																															
58225																															
58243			103	4774	217	29458	350	146050	296	8941	159	16937	225	66272			3	56	7	736	2	698	1	74	0	0	0	0	false	false	
58355																															
58551																															
58636																															
58757																															
58971			68	2562	207	24158	613	265871	4629	48407	495	35387	716	162997			8	374	35	2504	38	2327	87	803	50	2631	53	5808	false	false	
59316																															
59352																															
59370																															
59754																															
60143			413	13000	611	75000	1308	538000	7254	96000	1966	161000	2912	974000			0	0	6	1000	0	0	0	0	0	0	8	2000			
60330			53	2595	104	14510	149	63519	446	10986	126	12326	98	23915			12	386	22	2652	21	5575	33	678	7	572	8	983	false	false	
60545																															
60554																															
60648																															
61122			31	1574	89	11092	133	53660	647	16413	174	16293	92	25173			7	160	8	806	5	968	24	375	0	0	0	0	false	false	
61355																															
61476																															
61757			25	1233	39	4715	72	33055	90	1716	32	1518	25	4256			27	966	19	2406	3	608	48	656	3	281	0	0	false	false	
61832																															
61953																															
62044																															
62110																															
62147																															
63050																															
63069			1	6	42	5854	634	335266	5763	85639	1167	93141	1018	210450			0	0	0	0	0	0	0	0	0	0	0	0			
63201																															
63573																															
63733			115	4409	170	20607	211	84685	774	17138	145	13593	80	19200			173	6083	110	12233	52	13439	271	4410	9	1102	4	1262	false	false	
64150																															
64552			12	514	28	3953	58	24111	34	1178	15	1720	12	4396			1	26	5	793	2	710	0	0	0	0	0	0	false	false	
64730																															
65205																															
65513			0	0	0	0	0	0	0	0	1	170	2	730			0	0	0	0	0	0	0	0	0	0	0	0			
65559			26	960	52	5944	71	28171	442	10047	132	11879	88	22554			50	2090	76	6562	55	7452	422	8552	118	7764	33	6581	false	false	
65858																															
66154																															
66275																															
66677			7	244	13	1657	42	20234	3	32	1	198	0	0															false	false	
67142																															
67151																															
67209																															
67254																														false	
67656			52	1991	128	17475	264	111167	166	4386	46	5283	21	7604			41	1983	53	6266	43	11012	177	4565	65	6175	33	6495	false	false	
67870																															
68671																															
68756			52	2339	60	6279	131	52610	255	6819	55	4848	39	12970			57	2262	52	5940	53	14606	218	4673	38	3297	22	4980	false	false	
68831																															
69333			69	3031	125	16175	267	106405	700	17487	159	16661	109	38389			6	233	11	1074	1	144	1	20	1	95	0	0	false	false	
69678																															
70218			0	0	5	780	18	6131	1	85	0	0	2	566															false	false	
70414																															
70638																															
70955																															
71073																															
71457																															
71859																															
72258																															
72351																															
72454																															
72678																															
73116																															
73152																															
73554																															
73956																															
74056																															
74140			142	6260	187	23768	193	86362	837	22564	215	23659	174	54488			103	4644	115	14802	55	16289	214	5280	39	4276	14	3763	false	false	
74403			33	1140	97	11168	192	73818	450	7676	118	9633	121	27563			0	0	0	0	1	345	0	0	0	0	0	0	false	false	
74449																															
75259																															
75446																															
75455																															
75633			610	9707	1684	191772	5592	2384014	105870	2164197	35036	3107145	12601	3409034			130	1806	238	26148	233	57076	4584	101251	1203	109533	840	180800			
75651																															
76153			4	139	1	80	1	180	7	102	7	577	3	1269			4	146	12	1462	13	3485	15	202	18	1134	12	1130	false	false	
76443																															
76854																															
77150			4	277	3	420	10	3213	41	1315	17	1918	22	4564			8	293	10	1556	11	3587	56	1739	12	1579	9	1846	false	false	
77253																															
77422																															
77851			126	5085	141	17928	279	115782	871	22857	368	35034	290	81254			75	2873	154	17640	131	36269	351	6209	171	11983	124	14846	false	false	
78157																															
78241																															
78559																															
79042			17	599	39	5509	33	13206	66	1908	8	1104	8	1924			15	483	16	1876	14	3994	12	211	0	0	2	397	false	false	
79127																															
79145																															
79257																															
79855																															
80150																															
80374																															
80431																															
81175																															
82033																															
82257																															
82350																															
83151																															
83375																															
83638			29	1676	128	18725	463	206075	563	26246	425	53401	391	140069			0	0	0	0	0	0	0	0	0	0	0	0			
83834																															
83852																															
83955																															
84046																															
84541																															
85052																															
85472			124	6084	350	38557	892	326732	250	4959	156	11649	262	50224			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
85931																															
86349																															
86675																															
87047																															
87234																															
87476																															
87579			0	0	10	1024	54	25584	19	524	10	416	16	6971															false	false	
88231																															
88259																															
88352			16	696	13	1961	28	10001	385	8487	32	3246	19	3843			21	799	13	1325	8	2236	384	9428	32	3172	20	4789	false	false	
88455																															
88950																															
89032																															
89135																															
89854																															
89957																															
90047																															
90177																															
90328																															
90337			49	2098	56	6431	122	61765	277	5690	66	5723	76	21072			0	0	0	0	1	265	0	0	0	0	1	100	false	false	
90579																															
91615																															
91754			17	547	30	3958	32	11076	247	6258	23	2119	4	768			12	527	28	3028	6	1685	109	2496	6	510	3	565	false	false	
91950																															
92144																															
92676			11	427	51	6431	117	47541	99	4466	50	6502	62	23075			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
92706																															
92902																															
93244																															
93543																															
93619			0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0			
94139																															
94522																															
94755																															
94858																															
95051			5	115	3	324	14	7797	40	631	15	1394	11	3759			2	12	6	770	4	783	11	213	8	540	6	444	false	false	
95677																															
96553																															
97055																															
97279																															
97457																															
97804																															
97943																															
98351																															
98463																															
98717			0	0	0	0	42	16958	3	110	1	69	1	718															false	false	
99143																															
99376			3	28	6	677	26	10346	9	450	56	9401	218	84751			3	115	5	526	2	300	0	0	0	0	0	0	false	false	
99442																															
99536																															
99853																															
100236																															
100357																															
100562			74	2753	397	51187	1281	542477	2732	29606	531	30029	469	67738			12	605	56	6837	87	17356	41	827	47	3027	31	4227	false	false	
100777																															
100843																															
101037																															
101439																															
101671			27	1021	59	6606	93	36745	297	10185	186	21101	118	37406															false	false	
101738																															
101952																															
102333																															
102342																															
102557																															
102874			15	741	11	1343	12	6181	20	434	3	421	7	2793															false	false	
103134																															
104234																															
104542																															
104971																															
105026																															
105473																															
105530																															
106359			34	1408	101	11381	312	136276	221	5380	84	6500	99	25657			0	0	0	0	0	0	1	9	0	0	0	0	false	false	
106452																															
106676																															
107244			284	20463	506	59053	849	340770	596	21788	189	21763	129	35546			84	4050	70	11191	30	9208	32	747	10	691	2	437	false	false	
107570																															
107758																															
108072																															
108269																															
108652																															
108746																															
108951																															
109136																															
109154																															
109453																															
109574																															
109659																															
110413			50	2212	61	8058	99	36144	92	3041	44	4140	52	19060			21	232	66	1827	80	3795	107	3628	20	2485	7	1482	false	false	
110936																															
110945																															
110972																															
111157			0	0	0	0	1	571	29	639	13	1256	11	1969			4	141	24	3203	31	8009	97	2734	50	3881	43	4840	false	false	
111205																															
111942																															
111979																															
112163			97	4031	182	21778	360	145547	748	19131	230	21548	174	46490			208	8987	136	17626	58	16055	204	4673	31	3006	13	2630	false	false	
112332																															
112510																															
112556																															
112837			137	3422	314	28697	857	296727	2234294	9649853	40388	1943823	4108	694014			2	93	2	55	8	1477	66	528	8	400	0	0			
113003			1	58	1	44	0	0	0	0	0	0	0	0															false	false	
113030																															
113441																															
113601																															
113740			15	1424	50	6364	188	67799	88	3476	72	8932	54	17916															false	false	
114149																															
114260			89	4408	275	33228	418	156659	290	10510	148	17526	195	65406			0	0	1	174	0	0	47	2052	53	6464	37	11175	false	false	
114457																															
114774																															
114840																															
114859																															
115146																															
115575																															
116358																															
116554																															
116741																															
117038			35	1331	21	3013	33	12328	293	7125	45	4227	18	7984			33	1189	33	4460	12	2596	316	7182	29	3653	8	2788	false	false	
117074																															
117458																															
117775			8	319	13	1392	14	3667	65	2431	21	1610	66	13761			1	58	2	236	2	349	0	0	0	0	0	0	false	false	
118156																															
118660																															
118736																															
119153			9	476	19	2238	23	8105	149	2511	31	1426	31	4715			16	650	21	2212	4	839	71	1404	15	1479	11	1590	false	false	
119779			26	1151	74	9371	177	70804	208	3982	67	4310	49	13700															false	false	
119872																															
120476																															
120542																															
120609																															
120953																															
121642			249	10179	412	51184	762	300853	1837	40924	401	36534	333	93365			367	13180	211	25624	106	28186	358	8201	80	7326	42	8911	false	false	
121651																															
121914																															
122153																															
122546																															
122854			156	5486	508	62251	1458	625639	1271	27090	506	35712	703	169872			20	725	30	3645	26	6520	86	1342	10	825	8	752	false	false	
123075																															
123374																															
124344																															
124830																															
125154			5	279	10	1492	28	12565	8	132	14	1730	17	5576			4	260	5	668	7	2430	0	0	0	0	0	0	false	false	
125855																															
125873																															
126012																															
126049																															
126375																															
126553			19	611	26	3295	48	18092	133	2359	27	1814	38	7962															false	false	
126834																															
127055																															
127224																															
128258																															
128904			61	2980	429	56429	1067	440629	3439	68506	483	49773	523	155690			1	94	0	0	0	0	0	0	0	0	0	0	false	false	
129349																															
129358																															
129479																															
129732			42	1655	237	24178	863	254355	600	10950	549	35094	1370	240303			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
129853																															
129910																															
130345																															
130541			210	6868	473	50354	764	267866	2275	46058	1303	93370	690	133423			26	878	58	6133	30	6687	70	1695	31	2335	22	4083	false	false	
131436			20	842	57	6636	103	41276	149	3415	50	4596	31	8167			12	423	19	2046	16	3958	30	720	18	1620	18	3408	false	false	
131717			21	658	7	1088	7	2780	12	167	3	451	4	1435	13	1													true	false	
131940																															
132107																															
132451																															
132778																															
132938																															
133579			53	3538	79	9512	85	31261	219	5301	43	3861	15	2317															false	false	
133850																															
133971																															
134156																															
134437																															
134455																															
134848																															
135836																															
135854																															
136048																															
136338																															
136459																															
136655																															
137205																															
137447																															
137456																															
137559																															
137643																															
137652			11	675	72	11703	102	42221	9	219	13	972	14	2789															false	false	
137915			94	5635	210	31157	666	292790	43	2038	30	4632	67	39175															false	false	
138051																															
138257																															
138556																															
139133			10	380	17	2272	50	20201	124	3020	37	3413	37	9540			1	39	3	544	2	648	16	370	5	689	3	825	false	false	
139478																															
139553																															
139656			314	13073	346	45531	344	146254	1952	53393	390	39239	244	73694			359	13431	271	30162	132	32803	892	19482	154	12112	65	7905	false	false	
139740			20	1161	49	8821	91	49616	167	7483	113	17757	104	54520			1	53	7	1122	2	735	2	86	3	417	1	279	false	false	
139843			139	5089	141	16535	191	75996	458	11756	173	16543	156	54712			182	7442	253	29650	170	38441	569	16122	284	27310	164	32202	false	false	
140157																															
140362			7	253	26	3524	161	75287	47	1179	60	5312	114	21548			0	0	0	0	0	0	0	0	0	0	0	0	false	false	
140634																															
141211																															
141350																															
141556			12	478	51	4283	131	41440	16571	441724	4685	363698	1143	171052			11	258	28	2140	11	1759	45	1152	16	1414	4	497	false	false	
141677																															
141958																															
142049																															
142179																															
142955																															
143372																															
143662			130	5268	825	100952	3317	1326225	37087	948527	5265	462511	2860	720633			15	420	78	8629	116	30058	326	6564	226	17027	237	38456	false	false	
143859																															
143952																															
144034																															
144052																															
144155			14	735	52	7868	101	44659	117	2441	36	3235	47	10406			0	0	0	0	1	268	2	45	0	0	0	0	false	false	
144678																															
144856																															
144913																															
145059																															
145545																															
145554																															
145741																															
145844																															
146056																															
146663																															
147651																															
147679																															
147857			109	2813	36	4633	33	13030	57	1212	14	1087	4	884			17	734	32	4492	47	13453	77	1172	46	3925	41	6066	false	false	
147923																															
148171																															
148238																															
148340																															
148470																															
148715																															
148920																															
149150																															
150035			20	728	35	3175	53	17140	126	3010	51	3759	34	4684			13	307	17	1032	3	300	5	140	1	97	0	0	false	false	
150044																															
150727																															
151546	26	193															29	1191	21	2813	26	6686	89	1783	17	1326	4	759	false	true	
151957																															
152057																															
152253																															
152431																															
152440																															
153054																															
153353																															
154154																															
154770																															
155759																															
156457																															
156635																															
156970			37	1696	18	2838	7	2665	114	2744	14	2481	3	1596			41	1166	10	1381	3	797	2	85	0	0	0	0	false	false	
157155																															
157379																															
157650			27	1582	35	4866	29	10351	114	5664	25	2422	19	5094			2	72	2	136	0	0	5	267	0	0	0	0	false	false	
157744																															
157856																															
158376																															
158741																															
159636			71	3010	179	21247	408	155487	611	14329	97	9261	87	22645			53	1372	32	3214	5	1408	71	1092	4	345	0	0	false	false	
159645																															
159953																															
159971																															
160360																															
160454																															
160959			53	2275	73	10188	242	104650	169	3611	60	6337	81	19815			6	153	5	823	6	1948	9	435	2	119	4	562	false	false	
161273																															
161602																															
162337																															
163343																															
163549			102	1472	158	19151	282	82253	308	6170	203	24456	432	141518			5	231	3	393	4	802	1	21	0	0	0	0	false	false	
163857																															
164153																															
164331																															
164377																															
164957																															
164975																															
165628			277	10007	591	64986	975	345262	3928	78477	892	77734	1164	342066			70	1706	133	12959	77	17515	258	5016	53	4101	47	7956	false	false	
165758																															
166111																															
166531																															
166652			52	2381	80	9804	80	29494	246	6035	77	6100	151	19877			56	2366	73	10002	62	17938	211	5747	75	7141	43	9621	false	false	
166849																															
167453																															
167752																															
168357			9	294	13	1490	21	9508	54	1627	8	222	9	3067			8	345	11	1455	10	2129	40	1553	12	1565	8	2171	false	false	
168571																															
169327																															
169354																															
169653			25	1176	67	8381	330	145902	986	20319	142	14990	134	44522			0	0	1	85	0	0	0	0	0	0	0	0	false	false	
169756																															
170257																															
170275																															
170332			42	1480	44	4994	47	17135	120	3140	51	5436	17	6291			1	61	0	0	1	139	0	0	0	0	1	373	false	false	
171133			0	0	2	255	13	6105	8	244	9	914	30	10683			0	0	0	0	0	0	0	0	0	0	0	0			
171656			13	531	28	3537	38	13241	128	4130	11	1342	7	2069			8	448	10	1095	0	0	21	350	6	460	1	245	false	false	
171759																															
171768																															
172251																															
172457																															
172475																															
172859																															
173306			9	360	45	5364	73	29203	121	4155	69	8778	38	14026			0	0	2	260	1	217	2	11	0	0	0	0	false	false	
173342																															
173557																															
173575			21	837	50	7256	109	49353	412	5160	48	4213	37	8886															false	false	
173641																															
173959																															
174321																															
174367			1	53	1	209	16	6028	16	703	7	143	5	1574			1	81	0	0	1	500	3	63	0	0	0	0	false	false	
