"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
37													63	0	40	44	0	21																			
242													20	55	0	28	0	0																			
279													6	5	0	21	0	0																			
354													14	0	0	0	0	0																			
457													122	0	6	102	0	0																			
505													94	85	0	121	1	0																			
1155													7	0	0	19	0	0																			
1351													349	34	265	74	7	49																			
1454													66	0	0	4	0	0																			
1669													276	49	11	273	23	0																			
1856													0	0	0	20	0	0																			
2161	0	0	0	0	0	578	0	0	578	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
2732													0	0	0	0	0	0																			
2750													0	0	0	0	0	0																			
3252													56	0	26	155	0	86																			
3458													0	0	0	1	0	0																			
3720													11	0	0	19	2	15																			
3971													0	0	0	1014	0	1004																			
4156													0	0	0	0	0	0																			
4231													40	0	0	7	0	0																			
5069													0	0	0	0	0	0																			
5135													52	0	0	40	2	10																			
5210													0	0	0	70	0	0																			
5461													0	0	0	0	0	0																			
5751													43	0	5	7	0	1																			
6039	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
6329	0	0	0	0	0	0	0	0	0	0	0	0	14500	0	3404	2042	5	205	0	0	0	0	0	0	0	0	0	0	0	0							
7009													0	0	0	0	0	0																			
7045				0	0	0	0	0	0	0	0	0	28	0	68	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
7072													0	0	0	0	0	0																			
7456													0	0	0	0	0	0																			
7634													32	0	0	118	9	43																			
8033													0	0	0	0	0	0																			
8462													197	0	0	0	0	0																			
8631													0	0	0	0	0	0																			
9357													0	0	0	1	0	0																			
9553													0	0	0	7	0	0																			
9807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
9955													0	0	0	0	0	0																			
10250													0	0	0	0	8	0																			
10849													0	0	0	0	0	0																			
11145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	61	0	23	0	0	0	0	0	0	0	0	0	0	0	0							
11640													0	0	0	28	0	0																			
11837													0	0	0	0	0	0																			
12030													381	0	9	219	0	3																			
12142													33	1	4	19	8	8																			
12311							0	0	0																												
12647													0	0	0	0	0	0																			
12656													0	0	0	0	0	0																			
12946													136	31	166	164	13	111																			
13103	0	0	0	0	0	0	0	0	0	0	0	0	517	0	116	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0							
13251													0	0	0	0	0	0																			
13457													0	0	0	0	0	0																			
14155													28	0	0	0	0	0																			
14650													66	0	0	187	18	0																			
14753													0	0	0	0	0	0																			
14865													0	0	0	0	1	0																			
14977				0	0	0	0	0	0	0	0	0	16	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	0	0							
16551													0	0	0	1	0	0																			
