"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																																									
242																																									
279																																									
354																																									
457																																									
505																																									
1155																																									
1351																																									
1454																																									
1669																																									
1856																																									
2161																																									
2732																																									
2750																																									
3252																																									
3458																																									
3720																																									
3971																																									
4156																																									
4231																																									
5069																																									
5135																																									
5210																																									
5461																																									
5751																																									
6039																																									
6329																					217077	262972	263565	103277	0	429628	1276519	3045	2235	1614	1974	0	11676	518	21062	0	0	0	0	0	
7009																																									
7045																																									
7072																																									
7456																																									
7634																																									
8033																																									
8462																																									
8631																																									
9357																																									
9553																																									
9807																					336979	1046423	233792	26590	0	1099	1644883	4676	20865	2464	384	0	34	35	28458	0	0	0	0	0	
9955																																									
10250																																									
10849																																									
11145																																									
11640																																									
11837																																									
12030																																									
12142																																									
12311	2264126	18119991	32188318	47994251	662409	19681294	120910389	106308	543264	291204	807888	64322	329226	0	2142212	0	0	0	0	0																					
12647																																									
12656																																									
12946																																									
13103																																									
13251																																									
13457																																									
14155																																									
14650																																									
14753																																									
14865																																									
14977																																									
16551																																									
17110																																									
17147																					960979	3773531	2807297	4527265	0	172389	12241461	28571	47430	43274	100183	0	3594	0	223052	245	0	0	0	245	
17259																																									
17950																																									
17978																																									
18050																																									
18827																																									
18836																																									
18854																					140907	447155	71960	498822	0	6746	1165590	1871	5923	959	6590	0	109	0	15452	0	0	0	0	0	
19356																																									
19936																																									
19972																																									
20053																																									
20633																																									
20857																																									
21256																																									
21359																																									
21658																																									
22048																																									
22543																																									
22552																																									
22730																																									
23456																																									
23504																					221015	4510968	4917760	1074930	0	7172	10731845	2515	24478	13625	37477	0	240	0	78335	0	0	0	0	0	
23643																																									
23755																																									
24006																																									
24378																																									
24659																																									
24949																																									
25357																																									
25647																																									
26765																																									
27070																																									
27548																																									
27614																																									
27847																																									
28013																					25507	3723233	333244	157852	0	2095	4241931	286	29660	5043	6441	0	6	0	41436	0	0	0	0	0	
28152																																									
28675																																									
28732																																									
29476																																									
29636																																									
29878																					41686	934399	963629	0	0	35	1939749	187	7600	9354	0	0	2	0	17143	0	0	0	0	0	
30052																																									
30502																																									
30650																																									
30810	0	0	4006555	211666	89596544	18854059	112668824	0	0	62000	5000	6130000	1494000	0	7691000	0	0	0	0	0																					
31134																																									
31255																																									
31657																																									
31826																																									
31835																																									
32234																																									
32766																																									
32971																																									
33147																																									
33259																																									
33370																																									
33839																																									
33857																																									
34434																																									
34537																					730335	4788895	2623622	1687496	276	303770	10134394	6842	56974	43081	25928	25	22790	0	155640	0	0	0	0	0	
34555																																									
34742																																									
35057																																									
35301	0	2900000	0	31188000	0	39000	34127000	0	30000	0	85000	0	0	0	115000	0	0	0	0	0																					
35646																																									
35879																																									
36456																																									
36933																																									
37051																																									
37341																																									
37435																																									
37640																					356934	1803817	881400	666375	18320	42026	3768872	3195	20736	6459	13339	263	323	0	44315	0	0	0	0	0	
37659																																									
37949																																									
38740																																									
39327																																									
39756																																									
40033																																									
40499																					195761	2282710	1666128	448189	0	29845	4622633	4206	21973	12781	7810	0	224	0	46994	0	0	0	0	0	
40855																																									
41553																																									
41629																																									
41825																																									
42037																																									
42354																																									
42372																																									
42420																					541902	2991930	2323867	1471079	9886	1318274	8656938	7949	39377	22773	42568	368	20850	0	133885	0	0	0	0	0	
42448																					266969	758278	574788	253641	4115	40136	1897927	3816	14071	5037	2135	380	1786	0	27225	0	0	0	0	0	
42457																																									
43052																																									
43351																																									
43856																																									
43959																																									
44040																																									
44433																																									
44741																																									
44750																																									
44929																																									
45038																																									
45047																																									
45056																																									
45430																																									
45458																																									
45551																																									
45560																					0	829575	636964	166441	0	24244	1657224	0	8577	4302	2190	0	297	184	15550	0	0	0	0	0	
45775																																									
46053																																									
46941																																									
47247																																									
47256																																									
47500																																									
48057																																									
48150																																									
48374																																									
48440																																									
49054																																									
49148																																									
49241																																									
49652																																									
49858																																									
49951																																									
50144																																									
50461																																									
51253																																									
51356																																									
51459																																									
51842																																									
52719																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																																									
53051																																									
54058																																									
54656																					28982	109842	45892	80306	0	8081	273103	361	1486	622	1143	0	280	-3	3889	0	0	0	0	0	
54973																					109005	1373032	3524951	799926	0	252440	6059354	763	22701	11285	11936	0	24611	0	71296	0	0	0	0	0	
55336																																									
55635																																									
55653																																									
55970																																									
56258																																									
56351																					374716	937417	748027	321087	0	106530	2487777	3659	13397	5319	6742	0	2511	0	31628	0	0	0	0	0	
56548																																									
56717																																									
57040																																									
57451																																									
58225																																									
58243																					417551	1219571	1819968	1013936	16595	72684	4560305	8383	15458	28622	26997	431	653	3259	83803	0	0	0	0	0	
58355																																									
58551																																									
58636																																									
58757																																									
58971																					582327	2274696	1537477	1576799	12895	114184	6098378	29501	46224	29374	30808	747	1374	948	138976	0	0	0	0	0	
59316																																									
59352																																									
59370																																									
59754																																									
60143	3567000	13592000	1822000	33628000	0	2316000	54925000	46000	209000	30000	315000	0	41000	0	641000	0	0	0	0	0																					
60330																					91853	329484	157839	220238	0	13684	813098	3530	3934	1704	3176	0	240	2	12586	0	0	0	0	0	
60545																																									
60554																																									
60648																																									
61122																					76981	453356	456092	241959	0	60692	1289080	1103	4862	6323	3755	0	827	0	16870	0	0	0	0	0	
61355																																									
61476																																									
61757																																									
61832																																									
61953																																									
62044																																									
62110																																									
62147																																									
63050																																									
63069																																									
63201																																									
63573																																									
63733																					110728	340021	399719	80889	0	44637	975994	1801	3502	3413	985	0	567	479	10747	0	0	0	0	0	
64150																																									
64552																																									
64730																																									
65205																																									
65513																																									
65559																					31923	175160	49468	131893	0	13120	401564	375	2054	580	1545	0	155	0	4709	0	0	0	0	0	
65858																																									
66154																																									
66275																																									
66677																																									
67142																																									
67151																																									
67209																																									
67254																																									
67656																																									
67870																																									
68671																																									
68756																																									
68831																																									
69333																					106583	509210	283644	174336	0	17427	1091200	2203	4679	4835	2756	0	252	0	14725	5	0	0	0	5	
69678																																									
70218																																									
70414																																									
70638																																									
70955																																									
71073																																									
71457																																									
71859																																									
72258																																									
72351																																									
72454																																									
72678																																									
73116																																									
73152																																									
73554																																									
73956																																									
74056																																									
74140																					0	637745	336186	212610	0	84110	1270651	0	6221	4113	898	0	1409	0	12641	0	0	0	0	0	
74403																					70839	299540	449175	117427	0	202345	1139326	821	3326	1969	1784	0	3448	68	11416	0	0	0	0	0	
74449																																									
75259																																									
75446																																									
75455																																									
75633	5406729	24392508	21424238	85895395	916371	20153914	158189155	115722	328495	244013	879976	66812	347991	0	1983009	0	19	0	0	19																					
75651																																									
76153																																									
76443																																									
76854																																									
77150																																									
77253																																									
77422																																									
77851																					423514	1319897	381898	942884	9083	30421	3107697	3157	17376	3193	14108	105	159	0	38098	0	0	0	0	0	
78157																																									
78241																																									
78559																																									
79042																																									
79127																																									
79145																																									
79257																																									
79855																																									
80150																																									
80374																																									
80431																																									
81175																																									
82033																																									
82257																																									
82350																																									
83151																																									
83375																																									
83638	300494	2603103	1009070	2582435	0	554644	7049746	4422	18773	11614	30647	0	18905	0	84361	0	0	0	0	0																					
83834																																									
83852																																									
83955																																									
84046																																									
84541																																									
85052																																									
85472																					652230	5531592	3186057	620277	0	56986	10047142	816	25751	27598	5827	0	203	0	60195	56	11	0	976	1043	
85931																																									
86349																																									
86675																																									
87047																																									
87234																																									
87476																																									
87579																																									
88231																																									
88259																																									
88352																																									
88455																																									
88950																																									
89032																																									
89135																																									
89854																																									
89957																																									
90047																																									
90177																																									
90328																																									
90337																																									
90579																																									
91615																																									
91754																																									
91950																																									
92144																																									
92676																																									
92706																																									
92902																																									
93244																																									
93543																																									
93619																																									
94139																																									
94522																																									
94755																																									
94858																																									
95051																																									
95677																																									
96553																																									
97055																																									
97279																																									
97457																																									
97804																																									
97943																																									
98351																																									
98463																																									
98717																																									
99143																																									
99376																					16380	302571	1518006	696280	0	52146	2585383	205	3775	10751	7759	0	1194	0	23684	0	0	0	0	0	
99442																																									
99536																																									
99853																																									
100236																																									
100357																																									
100562																					225996	4353959	1178998	608669	26	54773	6422421	5655	64936	22834	12919	3	2060	0	108407	0	0	0	0	0	
100777																																									
100843																																									
101037																																									
101439																																									
101671																																									
101738																																									
101952																																									
102333																																									
102342																																									
102557																																									
102874																																									
103134																																									
104234																																									
104542																																									
104971																																									
105026																																									
105473																																									
105530																																									
106359																					130534	903592	245473	195199	849	272092	1747739	2311	10041	2871	5068	2	4184	560	25037	0	0	0	0	0	
106452																																									
106676																																									
107244																					8666053	7017782	950730	2829405	0	2598036	22062006	71402	54450	20409	20583	0	55181	0	222025	0	0	0	0	0	
107570																																									
107758																																									
108072																																									
108269																																									
108652																																									
108746																																									
108951																																									
109136																																									
109154																																									
109453																																									
109574																																									
109659																																									
110413																					7920	176396	77941	117105	2429	1394	383185	53	1869	327	3488	94	3	0	5834	0	0	0	0	0	
110936																																									
110945																																									
110972																																									
111157																																									
111205																																									
111942																																									
111979																																									
112163																					371496	1088653	545846	309791	0	60407	2376193	4864	14776	7120	4295	0	898	0	31953	0	0	0	0	0	
112332																																									
112510																																									
112556																																									
112837	0	0	0	93543135	137141984	78150968	308836087	0	0	0	1703326	10410437	2204239	0	14318002	0	0	0	0	0																					
113003																																									
113030																																									
113441																																									
113601																																									
113740																																									
114149																																									
114260																					416429	1106797	269417	474816	1797	14297	2283553	6408	8212	1810	2450	20	150	0	19050	0	0	0	0	0	
114457																																									
114774																																									
114840																																									
114859																																									
115146																																									
115575																																									
116358																																									
116554																																									
116741																																									
117038																																									
117074																																									
117458																																									
117775																																									
118156																																									
118660																																									
118736																																									
119153																																									
119779																																									
119872																																									
120476																																									
120542																																									
120609																																									
120953																																									
121642																					805108	2433222	1814116	798577	1272	98437	5950732	19043	19211	18660	6859	0	630	0	64403	0	0	0	0	0	
121651																																									
121914																																									
122153																																									
122546																																									
122854																					1665946	7950480	1611908	2694140	0	84112	14006586	29143	59109	4780	53353	0	465	0	146850	0	0	0	0	0	
123075																																									
123374																																									
124344																																									
124830																																									
125154																																									
125855																																									
125873																																									
126012																																									
126049																																									
126375																																									
126553																																									
126834																																									
127055																																									
127224																																									
128258																																									
128904																					355323	6078724	3701053	3354130	0	172464	13661694	7578	65141	33311	32067	0	2841	0	140938	0	0	0	0	0	
129349																																									
129358																																									
129479																																									
129732																					447108	1929384	499336	2637682	0	1822	5515332	3498	24738	2679	59525	0	25	0	90465	0	0	0	0	0	
129853																																									
129910																																									
130345																																									
130541																					223103	1577882	1152965	731501	0	561500	4246951	2189	15810	12393	7505	0	11629	0	49526	0	0	0	0	0	
131436																																									
131717																																									
131940																																									
132107																																									
132451																																									
132778																																									
