"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ26	RIADJJ27	RIADJJ28	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP TAX EFFECT 1	DIS OPS APP INCOME TAX EFFECT	DIS OP APP TAX EFFECT 2	Adoption of Current Expected Credit 	Initial allowances for credit losses	Effect of adoption of current expect	INCOME AND FEES FROM WIRE TRANSFERS	OTHER REAL ESTATE OWNED EXPENSES	INSURANCE EXPENSES NOT EMPLOY EXPENS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP INCOME TAX EFFECT	
37					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																	4360		
242					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
279					CONF							52	51	0	0	false		0	0												0	0	0	0	-1010	0	1025										Additional Paid in Capital Stock Options	Additional Paid in Capital Stock Awards								
354					CONF							13	0	0	0	false		0	0												0	0	0	0	-245	0	252										Capital contribution									
457					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
505					CONF							0	0	0	0	false		0	0												0	0	0	0	505	0	-684																			
1155					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
1351					CONF							0	0	0	0	false		0	0												0	0	0	0	-14	0	14																			
1454					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
1669					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
1856					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
2161					CONF							0	0	0	0	false		0	0					250		181			105		0	0	0	0	0	0	0																			
2732					CONF							0	0	0	0	false		0	0												0	0	0	0	0	0	0																			
