"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	INTANGIBLE ASSETS	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	Equity securities with readily deter	Held to maturity securities (ASU 201	
37																																							3112	1274	49805	0	0	279	0	2686	78959	67565	140	67705	0	956	0	0	11254	1200	78959	0	0	12270	0	0	3500	0	22125	45441			0	22759	21803	-5716	0	0	0	0	11254	0	0	
242																																							2850	1490	18893	0	0	515	0	518	53708	47421	79	50443	0	179	2943	0	3265	120	53708	0	0	5322	0	0	120	0	12976	34445			0	28403	28224	-2297	1218	0	0	0	3265	0	0	
279																																							5166	5400	95832	0	338	9844	0	13865	431677	314933	3328	390117	0	2969	71856	0	41560	1	431677	0	0	32061	0	0	15645	0	60445	254488			0	271731	268762	-6147	4600	0	0	0	41560	0	27870	
354																																							588	831	956	0	0	527	0	1435	58652	41412	469	51857	0	549	9976	0	6795	100	58652	0	0	-544	0	0	7267	228	6327	35085			0	50103	49554	-28	4533	0	0	0	6795	0	0	
457																																							993	975	1407	0	0	600	31	1017	74240	59110	217	68027	0	762	8700	0	6213	60	74240	0	0	2313	0	0	3940	0	11321	47789			0	69631	68869	-100	338	0	0	0	6213	10	0	
505																																							16584	9170	73851	0	1780	10153	0	23767	798423	624527	9610	736637	53	7853	102500	0	61733	6480	798423	0	0	40397	0	0	18403	0	183733	440794			0	670971	663118	-3547	0	0	0	0	61786	0	0	
1155																																							15341	12550	65645	0	9322	7401	0	12308	470541	422110	2624	424734	0	5073	0	0	45807	1600	470541	0	0	26811	0	0	23696	0	72028	350082			0	350116	345043	-6300	2931	0	0	0	45807	0	0	
1351																																							11852	4053	13981	0	0	4215	39	2355	210997	180421	1114	181535	0	1253	0	0	29462	240	210997	0	0	29576	0	0	530	0	30668	149753			0	107921	106668	-884	0	0	0	0	29462	0	67834	
1454																																							38803	12786	455334	0	0	3845	0	23564	991820	934506	5489	939995	0	5738	0	0	51825	1000	991820	0	0	124207	0	0	1214	0	351821	582685			0	463118	457380	-74596	0	0	0	0	51825	108	0	
1669																																							6209	4405	66307	0	0	3528	0	21525	403217	355370	1547	356917	0	4890	0	0	46300	800	403217	0	0	51134	0	0	800	0	80492	274878			0	280488	275598	-6434	0	0	0	0	46300	0	25645	
1856																																							7591	883	8485	0	98	424	0	663	42656	35081	75	35156	0	299	0	0	7500	500	42656	0	0	1509	0	0	5732	0	4829	30252			0	23543	23244	-241	268	0	0	0	7500	0	1000	
2161																																							2473	5187	123311	0	0	19908	0	17804	378494	325931	7119	354050	0	2745	21000	0	24444	1000	378494	0	0	16405	0	0	20476	0	79939	245992			0	212556	209811	-13437	0	0	0	0	24444	0	0	
2732																																							49268	8617	55821	0	1112	2883	0	7888	695949	577935	5755	583690	0	5022	0	0	112259	0	695949	0	0	107740	0	0	5789	0	148931	429004			0	575382	570360	-1270	0	0	0	0	112259	0	0	
2750																																							510	862	16181	0	0	270	0	3940	67958	56311	850	60941	0	510	2780	0	7017	111	67958	0	0	668	0	0	7500	0	7506	48805			0	46650	46140	-1262	0	0	1000	0	7017	55	0	
3252																																							0	6005	152965	0	0	550	0	4991	289449	255587	544	257131	0	3868	1000	0	32318	200	289449	0	0	36845	0	0	300	0	51684	203903			0	119806	115938	-5027	9000	0	0	0	32318	0	0	
3458																																							665	1565	18199	0	0	2573	0	2726	76022	69773	258	71781	0	751	1000	0	4241	100	76022	0	0	4923	0	0	1101	0	10779	58994			0	49958	49207	-1883	107	0	0	750	4241	0	980	
3720																																							53484	7489	85035	0	0	4032	428	14785	390857	350206	2691	352897	0	1673	0	0	37960	2400	390857	0	0	29903	0	0	18600	100	110501	239705			-4886	185471	183798	-8057	225	0	0	0	37960	0	41481	
3971																																							56215	5599	138020	2241	4290	9939	1318	37972	1104501	883795	9446	1008043	0	13225	114802	0	96458	2	1104501	0	0	17523	0	0	93423	0	154763	729032			0	858738	845513	-14490	2516	0	0	0	96458	878	0	
4156																																							5124	102	59287	0	1783	6018	0	9171	270856	230568	1082	250918	0	2550	10000	0	19938	1200	270856	0	0	18228	0	0	6657	0	48717	181851			0	191798	189248	-6147	0	0	3125	6143	19938	123	0	
4231																																							37613	860	57957	0	0	844	0	7068	153285	136039	374	136413	0	904	0	0	16872	500	153285	0	0	9014	0	0	12100	0	43875	92164			0	45882	44978	-4742	0	0	0	0	16872	0	3965	
5069																																							55361	1255	12487	0	0	29517	0	9062	560270	339172	8549	347721	0	13289	0	0	212549	4500	560270	0	0	203730	0	0	4129	0	26132	313040			0	464999	451710	190	0	0	0	0	212549	878	0	
5135																																							69465	5547	91349	0	1042	6893	0	17570	585256	465804	3227	487244	0	4943	18213	0	98012	651	585256	0	0	73917	0	0	24391	0	101440	364364			0	398333	393390	-947	0	0	0	0	98012	0	0	
5210																																							59145	24848	452252	2566	37821	27947	467	133064	2358620	1985709	21134	2121498	0	19148	87952	0	237122	4798	2358620	0	0	182036	0	0	108340	0	571862	1413847			0	1573817	1554669	-58052	0	0	0	26703	237122	915	64926	
5461																																							31523	15984	89932	0	55	14390	0	20127	833027	729422	8988	778410	0	6592	40000	0	54617	2059	833027	0	0	75788	0	0	4241	0	295968	433454			0	425186	418594	-27471	0	0	0	0	54617	0	242422	
5751																																							729	6070	91556	0	1089	1925	0	9721	284589	246196	1900	252096	0	2371	4000	0	32493	600	284589	0	0	32177	0	0	8752	0	47353	198843			0	161151	158780	-9036	8509	0	0	0	32493	0	6210	
6039																																							51682	4979	34713	0	0	7610	0	7362	423327	379943	3320	383263	0	4480	0	0	40064	469	423327	0	0	9744	0	0	30568	0	134755	245188			0	295461	290981	-717	26000	0	0	0	40064	0	0	
