"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	2790	3765		303				672					0	0	0	0				
242																				204	0	542		16				322					0	0	0	0				
279																				3455	2690	14921		1132				1440					0	6204	0	0				
354																				478	630	1623		229				286					0	0	0	0				
457																				477	0	1096		66				553					0	0	0	0				
505																				5776	2324	20948		4986				2571					0	5291	0	0				
1155																				1011	0	12534		547				2832					0	8144	0	0				
1351																				238	0	2497		165				2094					0	0	0	0				
1454																				1432	0	17792		3599				4361					0	8400	0	0				
1669																				859	3067	21824		576				2336					0	14065	0	921				
1856																				229	0	620		64				327					0	0	0	0				
2161																				2432	4983	20323	206	3076	750		437	1309					0	8523	0	0	investment in partnership		Deferred Loan Fees	
2732																				1369	1593	7931		2515				2454					0	0	0	0				
2750																				311	0	4412		127				1350					0	2624	0	0				
3252																				652	0	6428		1134				4642					0	0	0	0	NP DDA Debits			
3458																				262	533	2940		151				584					0	1410	0	0				
3720																				410	3348	15344		350				1166					0	7136	0	2934				
3971																				3955	7645	39143		7367				5017					0	15159	0	0				
4156																				720	378	9530		335				1408					0	5574	0	1115				
4231																				0	2182	7523		248				564					0	4529	0	0				
5069																				0	562	10176		7297				2317					0	0	0	0				
5135																				1279	1406	19441		1002				8519					0	7235	0	0				
