"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														2688		2619	0					69	0	0							
242														84		0	0					84	0	0							
279														4309		2303	0					468	1268	270				ATM Settlement	ESOP Payable		
354														392		22	0					121	185	64							
457														236		0	0					86	150	0							
505														10395		4459	848					428	4567	93							
1155														2813		1495	0					271	1047	0							
1351														1317		97	0					849	371	0							
1454														4607		4126	0					160	321	0							
1669														1749		1046	0					645	58	0							
1856														148		28	0					103	17	0							
2161														7848		5352	0		2242			93	2403	0	1749		1361	SBA PPP Overage			
2732														6645		2565	0					2034	2046	0							
2750														840		455	0					70	305	10							
3252														875		14	0					482	379	0							
3458														311		19	0					189	103	0							
3720														2935		1	0					236	2648	50							
3971														11220		3278	0					3882	3809	251							
4156														1616		596	0					644	164	212							
4231														492		0	0					240	225	27							
5069														10402		2245	0					2014	5771	372							
5135														3999		1113	0					867	2019	0							
5210														23581		15774	0					132	5713	1962							
5461														8898		7061	0					70	1585	182							
5751														2117		1515	0					154	448	0							
6039														4340		1595	0					1248	1497	0			324				
6329														10417		5834	0	844				1324	2042	1217	3774		1142				
7009														12131		1003	0					1441	9687	0							
7045														772	0	0	0	0	0	0	0	111	661	0	0	0	0				
7072														4555		3126	0					50	1348	31							
7456														527		173	0					134	220	0							
7634														429		0	7					192	185	45							
8462														1653		12	0					1497	136	8							
8631														874		752	0					68	54	0							
9357														7701		5744	0					97	1840	20							
9553														1661		0	0					208	1453	0							
9807														16725		5585	0					5467	4935	738			4427	0	0		
9955														582		0	0					80	502	0							
10250														2840		1255	0					653	922	10							
10849														998		122	0					214	394	268							
11145														3400		211	0		157	54		392	2797	0				Great Lakes Capital Fund	Differed Revenue		
11640														3673		1749	0					1031	893	0							
11837														474		85	0					129	233	27							
12030														6378		5364	0					739	275	0							
12142														3271		2084	0					657	530	0							
12311	3700239	0	2745303	32166	1450382	0	0	0	662877	159888	0	0	0									100005									
12647														385		0	0					223	162	0							
12946														24668		11837	0					1074	8924	2833							
13103														48692		40195	0		17580	14715		1816	6670	11				Defined Benefit Retirement Plan Liability	Fair value - swaps		
13251														171		99	0					72	0	0							
13457														275		0	165					15	95	0							
14155														2452		1266	0					543	627	16							
14650														582		280	0					20	261	21							
14753														360		0	0					128	232	0							
