"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	71																																	10	0	519								
242		19	385																																	0	0	2493								
279		13393	25669																																	3417	0	2471								
354		1354	121																																	1598	0	905								
457		1279	286																																	2411	0	4026								
505		15618	38197																																	19859	400	16133								
1155		8971	15513																																	26822	0	22728								
1351		0	115																																	3484	0	1538								
1454		0	18902																																	21006	0	43742								
1669		5713	8109																																	6873	0	972								
1856		711	0																																	926	0	360								
2161	25000	2910	14953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																12250	0	1535								
2732		0	32166																																	36082	0	3880								
2750		55	671																																	2362	0	12689								
3252		0	567																																	3542	0	11570								
3458		744	128																																	535	0	606								
3720		1945	1682																																	3499	0	1606								
3971		3585	28810																																	54851	0	7212								
4156		3288	11448																																	4515	0	7148								
4231		687	454																																	443	0	2951								
5069		5187	10663																																	1940	0	13								
5135		4452	10073																																	9849	0	29671								
5210		32834	97821																																	91066	0	41162								
5461		0	5648																																	18128	0	16120								
5751		13	1564																																	18333	0	10788								
6039	0	9499	18529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																8161	0	14905								
6329	0	37142	64639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																24367	0	21826								
7009		0	0																																	0	0	0								
7045	0	1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1422	0	3937								
7072		1930	2340																																	7127	0	6144								
7456		1560	155																																	5195	0	24817								
7634		1334	20																																	231	0	362								
8462		1213	87																																	3628	0	3189								
8631		1216	679																																	417	0	109								
9357		0	9525																																	151455	179933	5061								
9553		280	0																																	3008	0	31508								
