"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37		0	939	0	5	0	955	21	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242		0	179	0	1	0	178	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279		0	2934	197	7	0	1755	50	1025					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16		
354		0	531	-23	5	0	317	20	252					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6		
457		0	783	69	6	0	745	37	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505		0	7953	360	20	0	8347	90	-684					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155		0	5365	907	256	0	4243	41	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1351		0	1256	166	81	0	1250	255	14					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14		
1454		0	5722	50	24	0	5719	71	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
