"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
37																								0	0	5711	4769	0	0	6313	5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
242																								0	0	6523	5992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
279																								1734	1733	0	0	22301	19717	26379	24925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14579	14057	-119	
354																								0	0	700	688	0	0	39	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
457																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
505																								0	0	0	0	0	0	37652	37672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1155																								0	0	10489	10167	0	0	1162	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	470	494	0	0	0	0		
1351																								58979	53961	15887	15277	0	0	784	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1454																								0	0	149541	134768	0	0	155753	131510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1669																								0	0	4001	3840	0	0	20151	16920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1856																								0	0	222	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2161																								0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16451	14651		
2732																								0	0	12170	11789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
2750																								0	0	7543	6989	0	0	182	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3252																								0	0	9657	9596	0	0	4636	4370	0	0	0	0	0	0	10984	10685	0	0	0	0	0	0	13859	13365	0	0	0	0		
3458																								0	0	1022	945	0	0	4822	4131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
3720																								7751	6998	10881	10618	0	0	62683	54254	0	0	0	0	0	0	2899	3020	0	0	0	0	0	0	0	0	0	0	0	0		
3971																								0	0	52450	45548	0	0	8301	7394	0	0	0	0	0	0	1875	1872	0	0	0	0	0	0	0	0	0	0	0	0		
4156																								0	0	8607	7758	0	0	5291	4762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
4231																								0	0	4873	4801	0	0	23514	21212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5069																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5135																								0	0	31527	30784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
5210																								0	0	176458	156794	2467	2343	178441	158830	0	0	0	0	0	0	68898	64715	0	0	0	0	0	0	600	575	0	0	0	0		
5461																								27027	25480	67737	63795	101996	92218	5427	5032	0	0	0	0	446	415	3754	3625	0	0	0	0	0	0	0	0	0	0	0	0		
5751																								0	0	3433	3383	0	0	13632	13391	0	0	3973	3898	0	0	1940	2042	0	0	0	0	0	0	148	148	0	0	4856	4722		
6039																								0	0	8500	8328					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
6329																								0	0	52290	50325					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7009																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7045																								0	0	1001	928					0	0	0	0	0	0	331	299	0	0	0	0	0	0	0	0	0	0	0	0		
7072																								0	0	9000	8181	37471	32558	511	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7456																								0	0	3435	3172	0	0	220	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
7634																								0	0	1467	1394	0	0	6578	6106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8462																								0	0	28014	25879	0	0	41156	37739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
8631																								0	0	13085	12241	0	0	7358	6417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
9357																								0	0	15852	15231	0	0	10052	9692	0	0	0	0	0	0	7520	7276	0	0	0	0	0	0	1219	1207	0	0	0	0		
9553																								0	0	320	311	0	0	15532	13680	0	0	0	0	0	0	28	27	0	0	0	0	0	0	0	0	0	0	0	0		
9807																								27496	27208	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
9955																								0	0	16140	15016	0	0	364	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
10250																								0	0	18876	16965	0	0	112285	100401	0	0	0	0	0	0	931	917	0	0	0	0	0	0	0	0	0	0	0	0		
10849																								0	0	7123	6796	0	0	10407	9422	0	0	30	26	0	0	5905	5440	0	0	0	0	0	0	0	0	0	0	0	0		
11145																								0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31146	28667	9	
11640																								0	0	22104	19415	0	0	12101	9707	0	0	0	0	0	0	10892	9810	0	0	0	0	0	0	0	0	0	0	0	0		
