"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	11075	0	5676	21543	0	31334	0	0	0	0	34593	0	365		13591	2333		25658	34228	0	0	729	0	0	4545	9780	4466	1444	14325	274	392	284	0	6644	950	0	0	666	0																	
242	7740	0	1377	12898	0	21459	0	0	0	0	27986	0	4954		6198	6642		20082	23032	0	0	0	0	0	2064	3676	2172	848	5740	3231	1050	563	0	2562	4844	0	0	4281	0																	
279	46812	0	10000	55901	0	128947	0	0	12000	0	212704	0	1291		46179	43797		118947	211413	0	0	6653	12000	0	18091	47784	20575	8238	65875	8465	13157	5258	526	48509	27406	0	0	21622	0																	
354	2255	0	117	23994	0	23994	0	0	7621	0	38903	0	1430		1547	4374		23877	20551	0	16922	299	7621	1738	5867	6175	5536	11481	3285	1093	2123	0	0	27512	3216	0	0	3215	16922																	
457	7733	0	503	14036	0	16654	0	0	0	0	48825	0	8518		9218	16036		16151	39809	0	498	1893	0	0	3506	15389	1165	427	18895	750	3817	0	0	11269	4567	0	0	4567	498																	
505	98586	1	46037	147434	0	259604	0	0	35811	0	473150	0	64153		20171	305945		213566	408997	0	0	541	35811	35811	12616	39144	3492	220	51760	3598	7978	1571	0	35301	13147	83875	0	11576	0																	
1155	693	10	38490	128343	0	335041	0	0	0	0	111011	0	8988		30290	38662		294292	102023	2249	0	2342	0	0	13034	29029	8463	1104	40119	4566	14890	570	0	21340	20026	53161	0	19162	0																	
1351	9836	0	13907	27188	0	50933	0	0	0	0	131241	0	11489		35311	32715		37026	119752	0	0	0	0	0	10025	27922	29692	0	37947	4742	6217	10091	0	32329	21050	0	0	10959	0																	
1454	988	0	60188	308650	0	521826	0	0	0	0	372313	877	44731		35988	270457		460150	326705	1488	0	14468	0	0	30937	19123	7008	2696	42172	32973	5907	1649	575	23776	41104	53672	0	16276	0																	
