"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
37																																									
242																																									
279																																									
354																																									
457																																									
505																																									
1155																																									
1351																																									
1454																																									
1669																																									
1856																																									
2161																																									
2732																																									
2750																																									
3252																																									
3458																																									
3720																																									
3971																																									
4156																																									
4231																																									
5069																																									
5135																																									
5210																																									
5461																																									
5751																																									
6039																																									
6329																					241155	296006	317107	111112	0	484716	1450096	3255	2361	1836	2202	0	13463	50	23167	0	0	0	0	0	
7009																																									
7045																																									
7072																																									
7456																																									
7634																																									
8462																																									
8631																																									
9357																																									
9553																																									
9807																					381355	1152966	223860	28472	0	2077	1788730	5186	21182	2238	427	0	38	0	29071	0	0	0	0	0	
9955																																									
10250																																									
10849																																									
11145																																									
11640																																									
11837																																									
12030																																									
12142																																									
12311	1918822	17411114	33317711	49456228	762553	19630747	122497175	152683	576916	300412	857384	68860	323306	0	2279561	0	0	0	0	0																					
12647																																									
12946																																									
13103																					109347	826272	934529	146904	0	314486	2331538	1274	11137	4247	2341	0	2639	265	21903	0	0	0	0	0	
13251																																									
13457																																									
14155																																									
14650																																									
14753																																									
14865																																									
14977																																									
16551																																									
17110																																									
17147																					941726	3661427	2934748	4766222	0	161459	12465582	20369	46015	36737	98476	0	3084	0	204681	245	0	0	0	245	
17259																																									
17950																																									
17978																																									
18050																																									
18827																																									
18836																																									
18854																					143721	533834	143206	546080	0	7050	1373891	1554	6785	1472	9762	0	123	0	19696	0	0	0	0	0	
19356																																									
19936																																									
19972																																									
20053																																									
20633																																									
20857																																									
21256																																									
21359																																									
21658																																									
22048																																									
22543																																									
22552																																									
22730																																									
23456																																									
23504																					175352	4632231	4870324	1081506	0	5170	10764583	2322	26701	18144	28725	0	176	0	76068	0	0	0	0	0	
23643																																									
23755																																									
24006																																									
24378																																									
24659																																									
24949																																									
25357																																									
25647																																									
26765																																									
27070																																									
27614																																									
27847																																									
28013																					30514	3634450	321712	174155	0	1641	4162472	122	22700	5105	9108	0	4	0	37039	0	0	0	0	0	
28152																																									
28675																																									
28732																																									
29476																																									
29636																																									
29878																					37957	1016222	950506	0	0	33	2004718	165	8184	8909	0	0	1	0	17259	0	0	0	0	0	
30052																																									
30502																																									
30810	0	0	6442645	203837	99323465	20587001	126556948	0	0	92000	5000	7536000	1625000	0	9258000	0	0	0	0	0																					
31134																																									
31255																					87635	257305	292312	195094	0	31082	863428	1115	1793	2449	3312	0	320	602	9591	0	0	0	0	0	
31657																																									
31826																																									
31835																																									
32234																																									
32766																																									
32971																																									
33147																																									
33259																																									
33370																																									
33839																																									
33857																					163488	485482	274513	222938	0	11335	1157756	1776	5858	3024	2375	0	150	0	13183	0	0	0	0	0	
34434																																									
34537																					623246	4784852	2752714	1574954	0	242286	9978052	7001	53866	41320	30863	0	13619	0	146669	0	0	0	0	0	
34555																																									
34742																																									
35057																																									
35301	0	3062000	0	35731000	0	0	38793000	0	60000	0	75000	0	0	0	135000	0	0	0	1000	1000																					
35646																																									
35879																																									
36456																																									
36933																																									
37051																																									
37341																																									
37435																																									
37640																					328912	2004237	925550	644556	21113	47542	3971910	3533	24415	7836	7147	395	428	0	43754	0	0	0	0	0	
37659																																									
37949																																									
38740																																									
39327																																									
39756																																									
40033																																									
40499																					233972	2315486	1710525	498697	0	18006	4776686	4770	21620	13241	8357	0	197	0	48185	0	0	0	0	0	
40855																																									
41553																																									
41629																																									
41825																																									
42037																																									
42354																																									
42372																																									
42420																					559367	3090950	2402272	1593836	9464	1343977	8999866	6549	39103	23893	27046	347	22160	0	119098	0	0	0	0	0	
42448																																									
42457																																									
43052																																									
43351																																									
43856																																									
43959																																									
44040																																									
44433																																									
44741																																									
44750																																									
44929																																									
45038																																									
45056																																									
45430																																									
45458																																									
45551																																									
45560																					0	901931	720956	154840	0	25054	1802781	0	8226	5226	1332	0	421	-12	15193	0	0	0	0	0	
45775																																									
46053																																									
46941																																									
47247																																									
47500																																									
48057																																									
48150																																									
48374																																									
48440																																									
49054																																									
49148																																									
49241																																									
49652																																									
49858																																									
49951																																									
50144																																									
50461																																									
51253																					26839	85112	895246	14646	0	8324	1030167	255	450	9428	217	0	183	1314	11847	0	0	0	0	0	
51356																																									
51459																																									
51842																																									
52719																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52951																																									
53051																																									
54058																																									
54656																					26377	92430	50324	92287	0	13241	274659	562	1165	706	1016	0	261	212	3922	0	0	0	0	0	
54973																					202841	1365418	3608878	703481	0	236104	6116722	3442	20334	15151	7614	0	24516	0	71057	0	0	0	0	0	
55336																																									
55635																																									
55653																																									
55970																																									
56258																																									
56351																					373726	987406	923591	383216	0	110995	2778934	3077	13779	6606	7979	0	2393	0	33834	0	0	0	0	0	
56548																																									
56717																																									
57040																																									
57451																																									
58225																																									
58243																					432930	1260155	2012844	972661	17478	61848	4757916	7152	13518	28308	23386	506	1137	7412	81419	0	0	0	0	0	
58355																																									
58551																																									
58636																																									
58757																																									
58971																					640724	2462449	1662625	1690753	14070	109545	6580166	26251	51355	28239	39312	792	1198	701	147848	0	0	0	0	0	
59316																																									
59352																																									
59370																																									
59754																																									
60143	4558000	14266000	1889000	27882000	0	2227000	50822000	59000	247000	26000	319000	0	40000	0	691000	0	0	0	0	0																					
60330																					86924	373585	174691	223292	0	14290	872782	4142	4591	1808	4000	0	256	0	14797	0	0	0	0	0	
60545																																									
60554																																									
60648																																									
61122																					83424	492819	501990	275366	0	58728	1412327	1014	4962	7017	4013	0	976	0	17982	45	0	0	0	45	
61355																																									
61476																																									
61757																																									
61832																																									
61953																																									
62044																																									
62110																																									
62147																																									
63050																																									
63069	3589000	12154058	22654475	24445324	73461	427046	63343364	185677	174804	88003	298020	1135	5788	0	753427	98	0	0	0	98																					
63201																																									
63573																																									
63733																					130822	375182	437413	85008	0	46209	1074634	2141	3805	3687	1226	0	577	226	11662	0	0	0	0	0	
64150																																									
64552																																									
64730																																									
65205																																									
65559																					46997	202975	60702	151100	0	12060	473834	508	2189	656	1630	0	140	0	5123						
65858																																									
66154																																									
66275																																									
67142																																									
67151																																									
67209																																									
67254																																									
67656																					73119	664364	98230	60978	192191	11272	1100154	0	9948	4229	1068	57922	247	0	73414	0	0	0	0	0	
67870																																									
68671																																									
68756																					91485	388742	124035	193316	0	8342	805920	1329	3612	871	2018	0	54	426	8310	0	0	0	0	0	
68831																																									
69333																					81412	535602	298986	201344	0	14594	1131938	1581	4232	4825	2939	0	276	0	13853	0	0	0	0	0	
69678																																									
70218																																									
70414																																									
70638																																									
70955																																									
71073																																									
71457																																									
71859																																									
72258																																									
72351																																									
72454																																									
72678																																									
73116																																									
73152																																									
73554																																									
73956																																									
74056																																									
74140																					0	658702	356658	252087	0	98063	1365510	0	6065	4308	1369	0	1647	0	13389	0	0	0	0	0	
74403																					65046	283260	481598	114438	0	221886	1166228	745	2949	2247	1632	0	3672	215	11460	0	0	0	0	0	
74449																																									
75259																																									
75446																																									
75455																																									
75633	6385655	22961595	25124934	80402477	998264	11666250	147539175	156725	582194	235072	844824	75467	176748	0	2071030	0	18	5793	0	5811																					
75651																																									
76153																																									
76443																																									
76854																																									
77150																																									
77253																																									
77422																																									
77851																					428064	1489139	479042	1010753	9625	28700	3445323	4008	19342	3875	14564	93	145	0	42027	0	0	0	0	0	
78157																																									
78241																																									
78559																																									
79042																																									
79127																																									
79145																																									
79257																																									
79855																																									
80150																																									
80374																																									
80431																																									
81175																																									
82033																																									
82257																																									
82350																																									
83151																																									
83375																																									
83638	227299	2296555	1317998	2761138	0	354485	6957475	1121	21201	16564	47547	0	9617	0	96050	0	0	0	0	0																					
83834																																									
83852																																									
83955																																									
84046																																									
84541																																									
85052																																									
85472																					698042	5376073	3323175	689245	0	48846	10135381	1244	29998	27969	7641	0	321	0	67173	36	107	0	915	1058	
85931																																									
86349																																									
86675																																									
87047																																									
87234																																									
87476																																									
87579																																									
88231																																									
88259																																									
88352																																									
88455																																									
89032																																									
89135																																									
89854																																									
89957																																									
90047																																									
90177																																									
90328																																									
90337																																									
90579																																									
91615																																									
91754																																									
91950																																									
92144																																									
92676																																									
92706																																									
92902																																									
93244																																									
93543																																									
93619																																									
94139																																									
94522																																									
94755																																									
94858																																									
95051																																									
95677																																									
96553																																									
97055																																									
97279																																									
97457																																									
97804																																									
97943																																									
98351																																									
98463																																									
98717																																									
99143																																									
99376																					19539	290219	1543251	787820	0	60204	2701033	247	6484	10294	8134	0	1441	0	26600	0	0	0	0	0	
99442																																									
99536																																									
99853																																									
100236																																									
100357																																									
100562																					348981	4443768	1228743	704189	0	75014	6800695	9162	72175	24082	15616	0	3359	0	124394	0	0	0	0	0	
100777																																									
100843																																									
101037																																									
101439																																									
101671																																									
101738																																									
101952																																									
102333																																									
102342																																									
102557																																									
102874																																									
103134																																									
104234																																									
104542																																									
104971																																									
105026																																									
105473																																									
105530																																									
106359																					127504	968354	276668	205869	902	269501	1848798	1938	10483	3137	4322	1	4388	560	24829	0	0	0	0	0	
106452																																									
106676																																									
107244																					12322321	8251739	967941	3320331	0	3169016	28031348	130224	74501	24258	26063	0	110889	0	365935	0	0	0	0	0	
107570																																									
107758																																									
108072																																									
108269																																									
108652																																									
108746																																									
108951																																									
109136																																									
109154																																									
109453																																									
109574																																									
109659																																									
110413																					15845	232308	36432	114518	1409	2080	402592	101	1976	114	3689	13	4	0	5897	0	0	0	0	0	
110936																																									
110945																																									
110972																																									
111157																																									
111205																																									
111942																																									
111979																																									
112163																					272857	1085398	569302	282402	0	54613	2264572	3260	14480	8202	3895	0	723	0	30560	0	0	0	0	0	
112332																																									
112510																																									
112556																																									
112837	0	0	0	89461433	150593652	75098408	315153493	0	0	0	1537923	11754366	2087312	0	15379601	0	0	0	0	0																					
113003																																									
113030																																									
113441																																									
113601																																									
113740																					23557	267197	340775	64970	0	3729	700228	1476	2911	8191	430	0	40	369	13417	0	0	0	0	0	
114149																																									
114260																					410043	1126826	281450	531861	2097	17005	2369282	6399	7331	1930	2923	24	193	0	18800	0	0	0	0	0	
114457																																									
114774																																									
114840																																									
114859																																									
115146																																									
115575																																									
116358																																									
116554																																									
116741																																									
117038																																									
117074																																									
117458																																									
117775																																									
118156																																									
118660																																									
118736																																									
119153																																									
119779																					64026	344900	907504	43930	0	24349	1384709	1157	3272	4645	486	0	227	215	10002	0	0	0	67	67	
119872																																									
120476																																									
120542																																									
120609																																									
120953																																									
121642																					672113	2573269	2010018	714982	1158	93819	6065359	14194	19749	23655	8462	0	780	0	66840	0	0	0	0	0	
121651																																									
121914																																									
122153																																									
122546																																									
