"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJJ27	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
	ADVERTISING & MARKETING EXPENSES	RENT & OTHER INCOME FR OTHR REAL EST	DIRECTORS FEES	LEGAL FEES & EXPENSES	FDIC DEPOSIT INSURANCE ASSESSMENTS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	POSTAGE EXPENSE	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	INCM&FEES FROM PRNTNG&SALE OF CHECKS	EARNINGS ON CSV OF LIFE INSURANCE	SAFE DEPOSIT BOX RENT	INCM&FEES FRM AUTMTD TELL MACH(ATMS)	DATA PROCESSING EXPENSES	PRINTING, STATIONERY, AND SUPPLIES	BK CARD CR CARD INTERCHANGE FEE	ACCOUNTING AND AUDITING EXPENSES	CONSULTING AND ADVISORY EXPENSE	ATM AND INTERCHANGE EXP	TELECOMMUNICATIONS EXP	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP TAX EFFECT 1	DIS OPS APP INCOME TAX EFFECT	DIS OP APP TAX EFFECT 2	Initial allowances for credit losses	INCOME AND FEES FROM WIRE TRANSFERS	OTHER REAL ESTATE OWNED EXPENSES	INSURANCE EXPENSES NOT EMPLOY EXPENS	1ST ITEMIZED AMT OV25% OF ITEM 4078	2ND ITEMIZED AMT OV25% OF ITEM 4078	3RD ITEMIZED AMT OV25% OF ITEM 4078	1ST ITEMIZED AMT OV25% OF ITEM 4092	2ND ITEMIZED AMT OV25% OF ITEM 4092	3RD ITEMIZED AMT OV25% OF ITEM 4092	1ST ITMZD TRANSACTIONS OF ITEM 4415	2ND ITMZD TRANSACTIONS OF ITEM 4415	1ST ITEMIZED ADJUSTMTS TO ITEM 4815	2ND ITEMIZED ADJUSTMTS TO ITEM 4815	OTHER EXPLANATIONS	RESTATEMNTS DUE TO CORRECTIONS (1ST)	RESTATMENTS DUE TO CORRECTIONS (2ND)	DISCONTINUED OPERATIONS AND APPLICAB	DIS OPS APP INCOME TAX EFFECT	
37					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
242					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
279					CONF							143	143	0	0	false		0	0												0	0	0	0	0										Additional Paid in Capital Stock Options	Additional Paid in Capital Stock Awards								
354					CONF							750	0	0	0	false		0	0												0	0	0	0	0										Capital Contribution									
457					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
505					CONF							0	0	0	0	false		0	0												0	0	0	0	0				Captive Claims Paid			Insurance Expense												
1155					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
1351					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
1454					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
1669					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
1856					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
2161					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
2732					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
2750					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
3252					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
3458					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
3720					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
3971					CONF							0	0	0	1250	false		0	0												0	0	0	0	0													Initial allowance upon merger of Lake Community Bank into MidCountry Bank				Exited and wound down the operations of the Bank's Consumer Banking Division.		
4156					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
4231					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
5069					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
5135					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
5210					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
5461					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
5751					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
6039	82				CONF	45						0	0	0	0	false		0	0			22		311		129				64	0	0	0	0	0				SBA package fees															
6329	597		19	56	CONF				118	1187	177	0	0	0	0	false	288	0	0		116	13	104		510	1536	152	271	53	288	0	0	0	0	0	21	38	64				Education & Training	Service Fee Analysis	Dues & Subscriptions	Transfer from Holding Company									
7009					CONF							0	0	0	0	false		0	0												0	0	0	0																				
7045	13		27		CONF							0	0	0	0	false	8	0	0	2		5	13		11	150	25		86	15	0	0	0	0	0			13																
7072					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
7456					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
7634					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
8462					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
8631					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
9357					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
9553					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
9807					CONF	917			534			0	0	0	0	false		0	0		3952							238			0	0	0	0	0				Previously negotiated amounts by inhouse counsel			Computer Equipment Supplies												
9955					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
10250					CONF							0	0	0	0	false		0	0												0	0	0	0	0										Downstream from Holding Company									
10849					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
11145	14	10	33	4	CONF	17	59		47			0	0	0	0	false	26	0	0	15		5	248	170	38		60	27	125	28	0	0	0	0	0	6		17	Other Misc Income	Other Misc Asset Income		Credit & Collections												
11640					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
11837					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
12030					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
12142					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
12311	33719	0	0	0	CONF	31051	20779	-17936	0	0	0	0	0	0	0	false	0	0	0	0	15820	0	0	153484	0	99145	0	0	0	0	0	0	0	0	0	0	0	0	~Overhead charges	~Commitments/Letter of credit fees	~Mortgage banking related income													
12647					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
12946					CONF							0	0	55	0	false		0	0												0	0	0	0	0												MOVE ALLOW FOR UNFUNDED LNS	ALLOW FOR AFS DEBT SECURITIES						
13103	470				CONF	3892			993		723	0	0	0	0	false		0	0				67	1942		361		741			0	0	0	0	0				Gain on sale of Non-controlling Interest - FBIA Insurance Company - final payout	Swap Fees	Prepayment Penalties	Charitable Foundation Contribution		Other Computer Service Expenses	Capital Contribution from other partner of majority owned subsidiary.	Capital Contribution from other partner of majority owned subsidiary.								
13251					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
13457					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
14155					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
14650					CONF							0	0	0	0	false		0	0												0	0	0	0	0										Capital Injection		ACL Off Balance Sheet Items							
14753					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
14865					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
14977	7		55	5	CONF							0	0	0	0	false	5	0	0					10			18	12		5	0	0	0	0	0																			
16551					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
17110					CONF				1075	322	304	0	0	0	0	false		0	0					983							0	0	0	0								Referral Fees	Custodial Costs	Contributions										
17147	0	0	0	0	CONF	0	0	0	2555	0	0	0	0	0	0	false	0	0	0	0	1421	0	565	4626	0	4290	0	0	0	0	0	0	0	0	0	0	0	0				Other noninterest expense												
17259					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
17950					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
17978					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
18050					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
18827					CONF							21000	0	0	0	false		0	0												0	0	0	0	249										Capital from Holding Company									
18836					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
18854					CONF	1379			1190			0	0	0	0	false		0	0					472							0	0	0	0	0				Oil & Gas Revenue			Oil & Gas Expense												
19356					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
19936					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
19972					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
20053					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
20633					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
20857					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
21256					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
21359					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
21658					CONF							0	0	0	0	false		0	0												0	0	0	0	0							Maintenance Agreements	Education	Insurance Expense										
22048					CONF							0	0	-3	0	false		0	0												0	0	0	0	0												Unfunded Committment Liability							
22543					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
22552					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
22730					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
23456					CONF							1500	0	0	0	false		0	0												0	0	0	0	0										Capital Contribution from holding company									
23504	1497				CONF	-1034						0	0	0	0	false		0	0		2461			4306		266					0	0	0	0		302			CHANGE IN FAIR VALUE OF LOANS HELD FOR SALE															
23643					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
23755					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
24006					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
24378					CONF							0	0	0	0	false		0	0												0	0	0	0	0																			
